6b5cA02 1.10.8.60.22 A.198-283
1e8yA02 2.60.40.150.20 A.215-380
3pycA00 2.60.40.150.21 A.1-132
5nczA03 2.60.40.150.22 A.214-381
3fbkA00 2.60.40.150.23 A.13-152
3im1A03 2.60.40.150.24 A.214-328
3l9bA00 2.60.40.150.25 A.19-144
4npjB01 2.60.40.150.26 B.3-149
3w57A00 2.60.40.150.27 A.21-131
3cwzB03 2.60.60.20.7 B.246-366
2oj5D00 2.60.90.20.1 D.5-164
6ivzA01 2.60.98.10.4 A.2-51,132-186,272-292
2ayhA00 2.60.120.200.32 A.1-214
3pveA00 2.60.120.200.33 A.7-189
1w0pA03 2.60.120.200.34 A.354-540
4u36A00 2.60.120.200.35 A.1-233
3gneB00 2.60.120.200.36 B.2-243
1oq1B00 2.60.120.200.37 B.5-223
5gzcA00 2.60.120.200.38 A.1-152
2hykA00 2.60.120.200.39 A.7-243
4yg0A00 2.60.120.200.40 A.1-164
3pmeA01 2.60.120.200.41 A.2-225
2uurA00 2.60.120.200.42 A.19-233
1dhkB00 2.60.120.200.43 B.1-204
4bpzA00 2.60.120.200.44 A.6-256
3m1hD00 2.60.120.200.45 D.3-178
3wg3A00 2.60.120.200.46 A.9-171
5vx5A01 2.60.120.200.47 A.4-162
1w0pA01 2.60.120.200.48 A.25-81,94-213
5nldB00 2.60.120.200.49 B.2-139
4ateA00 2.60.120.200.50 A.9-264
1s0iA02 2.60.120.200.51 A.412-646
5freA00 2.60.120.200.52 A.1-194
1ux6A02 2.60.120.200.53 A.138-350
2ltnA00 2.60.120.200.54 A.1-181
3q9oA01 2.60.120.200.55 A.13-249
3h0oA00 2.60.120.200.56 A.1-240
4c1wA00 2.60.120.200.57 A.1-188
1d2sA00 2.60.120.200.58 A.1-170
4q8kA00 2.60.120.200.59 A.143-369
2durB01 2.60.120.200.60 B.24-252
3zpyB00 2.60.120.200.61 B.2-248
3powA01 2.60.120.200.62 A.7-186,204-264
2zhnA00 2.60.120.200.63 A.3-147
1ajoA00 2.60.120.200.64 A.3-214
1h30A01 2.60.120.200.65 A.5-30,220-414
1a8dA01 2.60.120.200.66 A.1-246
2wkkA00 2.60.120.200.67 A.1-150
1vavA00 2.60.120.200.68 A.1-222
4q27A00 2.60.120.200.69 A.3-135
3mw4A00 2.60.120.200.70 A.1-178
5mc9A01 2.60.120.200.71 A.52-235
2zzjA00 2.60.120.200.72 A.1-238
5vxzA01 2.60.120.200.73 A.1-193
3zxfB00 2.60.120.200.74 B.1-138
6a66A00 2.60.120.200.75 A.5-142
5mc9A02 2.60.120.200.76 A.236-417
4gwmA02 2.60.120.200.77 A.238-407
2h0bC00 2.60.120.200.78 C.2-184
2eigA00 2.60.120.200.79 A.1-230
3vv1A00 2.60.120.200.80 A.20-160
2a5zA00 2.60.120.200.81 A.24-262
1is3A00 2.60.120.200.82 A.2-135
3flpA00 2.60.120.200.83 A.1-217
3nv1A00 2.60.120.200.84 A.3-138
5gm0A01 2.60.120.200.85 A.7-154
1dypA00 2.60.120.200.86 A.1-271
1o4yA00 2.60.120.200.87 A.4-273
5it6A00 2.60.120.200.88 A.1-134
3wucB00 2.60.120.200.89 B.1-137
4m00A01 2.60.120.200.90 A.47-284
3asiA01 2.60.120.200.91 A.5-182
5l73A00 2.60.120.200.92 A.13-186
2w39A00 2.60.120.200.93 A.1-298
3qcwA02 2.60.120.200.94 A.420-614
3v0aB03 2.60.120.200.95 B.836-1040
5dg2B00 2.60.120.200.96 B.4-134
3dgtA00 2.60.120.200.97 A.1-278
1umzB00 2.60.120.200.98 B.15-278
2wsuB02 2.60.120.200.99 B.188-331
1upsB01 2.60.120.200.100 B.19-283
3juuA00 2.60.120.200.101 A.10-277
3ikwA01 2.60.120.200.102 A.1-152,223-374
4agrB00 2.60.120.200.103 B.3-146
4ozxA00 2.60.120.200.104 A.1-285
2c9aA01 2.60.120.200.105 A.1-162
1jhnA01 2.60.120.200.106 A.17-218,372-412
2wjsA03 2.60.120.200.107 A.385-560
4be3A00 2.60.120.200.108 A.1-312
1wd3A01 2.60.120.200.109 A.1-320
4awdB00 2.60.120.200.110 B.28-323
4asmB00 2.60.120.200.111 B.7-363
4cd9D00 2.60.120.200.112 D.2-257
4oq8A00 2.60.120.220.1 A.16-159
4whsA00 2.60.130.10.2 A.1-200
4jonC00 2.60.200.20.14 C.2-119
4a0eA00 2.60.200.20.15 A.3-110
3uv0B00 2.60.200.20.16 B.2-100
3vpyA00 2.60.200.20.17 A.1-145
2ff4A03 2.60.200.20.18 A.289-386
4qcjA01 2.60.200.20.19 A.47-142
6mydA00 2.60.210.10.2 A.1-155
1x1iA03 2.60.220.10.5 A.635-752
2wcoA03 2.60.220.10.6 A.651-765
3agxA02 2.60.260.20.5 A.85-165
3i38A01 2.60.260.20.6 A.4-79
3a57A00 2.60.270.30.1 A.12-165
1r94A00 2.60.300.12.1 A.1-97
4obiA00 2.60.320.10.2 A.11-97
3rrsA03 2.60.420.10.2 A.322-328,746-822
3tcqA01 2.70.20.20.1 A.50-193
1f7dA00 2.70.40.10.11 A.1-118
3h6xB00 2.70.40.10.12 B.3-132
5fjqA00 2.70.50.50.5 A.1-180
3uamC00 2.70.50.50.6 C.24-216
2gu1A03 2.70.70.10.8 A.200-331
1z45A03 2.70.98.10.25 A.357-699
3bgaA05 2.70.98.10.26 A.734-1003
1cb8A02 2.70.98.10.27 A.322-567
3k25A00 2.70.98.10.28 A.2-289
3obaA05 2.70.98.10.29 A.740-1032
3ty1A00 2.70.98.10.30 A.1-384
4xqmA00 2.70.130.10.6 A.1-94
3ar4A01 2.70.150.10.1 A.13-55,114-241
4lwoB02 2.70.160.11.7 B.183-368
6hzwA01 2.70.170.10.5 A.5-196
4q7gA00 2.70.240.10.2 A.24-323
4ihzA00 2.80.10.50.37 A.1-164
6i18A03 2.80.10.50.38 A.262-386
1dqgA00 2.80.10.50.39 A.2-135
1vclA02 2.80.10.50.40 A.151-284
6i18A02 2.80.10.50.41 A.139-261
1m2tB01 2.80.10.50.42 B.2-139
2ffuA02 2.80.10.50.43 A.372-498
5yh4A00 2.80.10.50.44 A.1-179
3wa1A01 2.80.10.50.45 A.21-180
1upsA02 2.80.10.50.46 A.286-420
4gc1A02 2.90.10.10.5 A.106-150,221-276
5v6fA00 2.100.10.30.3 A.2-138
4pitA00 2.100.10.30.4 A.4-143
1vm9A00 2.102.10.10.9 A.1-109
1nykA00 2.102.10.10.10 A.1-156
3c7xA00 2.110.10.10.1 A.1-196
3zxkA01 2.115.10.20.12 A.5-315
4novA00 2.115.10.20.13 A.40-345
5flwA00 2.115.10.20.14 A.3-304
3ugfA01 2.115.10.20.15 A.27-349,537-545
3dr2A00 2.120.10.30.7 A.4-305
3dasA00 2.120.10.30.8 A.14-347
3hrpA02 2.120.10.30.9 A.105-408
2dg1C00 2.120.10.30.10 C.6-325
3sovA01 2.120.10.30.11 A.4-262
2g8sB00 2.120.10.30.12 B.7-353
4nsxA01 2.130.10.10.53 A.20-32,350-684
1s4uX00 2.130.10.10.54 X.13-402
2w18A00 2.130.10.10.55 A.24-356
3nvxB00 2.130.10.10.56 B.2-382
4pswB00 2.130.10.10.57 B.7-390
5ic7A00 2.130.10.10.58 A.58-422
3ei3A02 2.130.10.10.59 A.32-373
3b7fA00 2.130.10.10.60 A.16-393
1erjB00 2.130.10.10.61 B.3-390
3v7dD02 2.130.10.10.62 D.110-464
4lg9A00 2.130.10.10.63 A.38-400
1sqjB01 2.130.10.10.64 B.3-12,445-763
5cxbA02 2.130.10.10.65 A.121-506
1qksA02 2.140.10.20.1 A.136-567
3wp8A02 2.150.10.10.4 A.101-235,259-275
3nz2A00 2.160.10.10.18 A.7-187
3c8vC03 2.160.10.10.19 C.248-413
3jqyC00 2.160.10.10.20 C.28-243
3r0sA01 2.160.10.10.21 A.6-197
4nk6A00 2.160.20.10.29 A.24-447
5olpA00 2.160.20.10.30 A.20-451
1rmgA00 2.160.20.10.31 A.1-422
2vbkA00 2.160.20.10.32 A.4-514
4mr0B00 2.160.20.10.33 B.114-565
4w8qA00 2.160.20.10.34 A.1-234
4yz0A00 2.160.20.10.35 A.7-204
3g4nA03 2.170.15.10.2 A.177-310,398-467
4kl5B00 2.170.16.10.5 B.1-142
1at0A00 2.170.16.10.6 A.1-145
5nrgS02 2.170.120.20.2 S.95-176
4rdrA01 2.170.130.10.5 A.32-155
4tzcD00 2.170.150.20.3 D.2-108
3cxkA00 2.170.150.20.4 A.31-161
2y3vD00 2.170.210.20.1 D.4-157
3o7vX00 2.170.260.10.3 X.2-118
3rq4A02 2.170.270.10.10 A.101-242
5lszA00 2.170.270.10.11 A.18-283
3s8pA02 2.170.270.10.12 A.129-272
2v1yA00 3.10.20.90.63 A.17-105
2fazA00 3.10.20.90.64 A.2-78
1wywB00 3.10.20.90.65 B.19-97
5d94A00 3.10.20.90.66 A.10-128
3rt3B01 3.10.20.90.67 B.3-77
4ii2B00 3.10.20.90.68 B.4-83
4mjsX00 3.10.20.90.69 X.4-104
4b6wA00 3.10.20.90.70 A.1-86
1yqbA01 3.10.20.90.71 A.22-92
3w1yB00 3.10.20.90.72 B.8-134
5fr6A00 3.10.20.90.73 A.7-111
4x57D00 3.10.20.90.74 D.23-114
3ivfA02 3.10.20.90.75 A.85-130,149-168
3ny5B01 3.10.20.90.76 B.15-85
2ylmA03 3.10.20.90.77 A.239-335
2wxfA02 3.10.20.90.78 A.52-187
4gmvA01 3.10.20.90.79 A.13-118
3kuzB00 3.10.20.90.80 B.18-126
3pvlA02 3.10.20.90.81 A.261-356
4hwiB01 3.10.20.90.82 B.2-72
4kikB02 3.10.20.90.83 B.315-403
4dbgA00 3.10.20.90.84 A.20-101
4f7zA05 3.10.20.90.85 A.629-743
2bpsA00 3.10.20.90.86 A.1-81
5khqA00 3.10.20.90.87 A.15-138
3vqiD03 3.10.20.90.88 D.198-274
4zynB01 3.10.20.90.89 B.6-81
3m62B00 3.10.20.90.90 B.3-74
2byvE05 3.10.20.90.91 E.648-726
3w1sC00 3.10.20.90.92 C.6-91
4i6pA00 3.10.20.90.93 A.4-87
5x0wF00 3.10.20.90.94 F.15-101
4ic7E00 3.10.20.90.95 E.1-111
3ddcB00 3.10.20.90.96 B.6-163
1k8rB00 3.10.20.90.97 B.1-95
4loxA02 3.10.28.10.10 A.155-302
1mowA01 3.10.28.10.11 A.5-117
3c0wA02 3.10.28.10.12 A.123-225
3ui4A00 3.10.50.40.4 A.1-101
3o5qA00 3.10.50.40.5 A.1-128
3i6cA00 3.10.50.40.6 A.11-123
6gmpA00 3.10.50.40.7 A.5-122
4driA00 3.10.50.40.8 A.24-144
2pv1A00 3.10.50.40.9 A.1-103
2ox9A00 3.10.100.10.22 A.4-133
1sb2A00 3.10.100.10.23 A.1-132
1wmzA00 3.10.100.10.24 A.1-140
4qkhA00 3.10.100.10.25 A.2-124
3g8kA00 3.10.100.10.26 A.4-130
3rqtA02 3.10.105.10.9 A.244-456
4pfyA03 3.10.105.10.10 A.254-494
1yrvA00 3.10.110.10.16 A.15-167
3o2uA01 3.10.110.10.17 A.29-190
2a7lA00 3.10.110.10.18 A.14-136
1mj4A00 3.10.120.10.4 A.3-82
3s4kA00 3.10.129.10.49 A.19-144
1c8uA01 3.10.129.10.50 A.130-285
2gf6A00 3.10.129.10.51 A.3-135
2egjA00 3.10.129.10.52 A.2-127
2hboA01 3.10.129.10.53 A.13-145
1njkA00 3.10.129.10.54 A.5-154
3kh8B01 3.10.129.10.55 B.37-198
2fs2B00 3.10.129.10.56 B.1-138
2hljA01 3.10.129.10.57 A.1-140
2cyeC00 3.10.129.10.58 C.2-133
3kh8A02 3.10.129.10.59 A.199-331
1zkiA00 3.10.129.10.60 A.7-131
2gllF00 3.10.129.10.61 F.23-169
6enpA00 3.10.130.10.4 A.1-128
1vpkA03 3.10.150.10.11 A.260-378
4trtA02 3.10.150.10.12 A.123-241
1twuA00 3.10.180.10.38 A.3-139
3w0tA00 3.10.180.10.39 A.12-187
3ghjA00 3.10.180.10.40 A.26-141
3l7tA01 3.10.180.10.41 A.8-134
3kolA01 3.10.180.10.42 A.21-153
3gm5A00 3.10.180.10.43 A.9-159
2rbbA00 3.10.180.10.44 A.5-133
3zi1A01 3.10.180.10.45 A.18-155
1ecsA00 3.10.180.10.46 A.2-121
2rk9B00 3.10.180.10.47 B.4-136
4xfwA00 3.10.200.10.7 A.1-226
1z8gA01 3.10.250.10.1 A.4-107
1bm8A00 3.10.260.10.1 A.1-99
6az1E01 3.10.290.10.12 E.2-114
5o5jD02 3.10.290.10.13 D.93-186
5k87A01 3.10.310.10.21 A.7-185,381-399
4dunA01 3.10.310.10.22 A.3-117,250-261
5h2gA02 3.10.310.10.23 A.130-264
1ym5A01 3.10.310.10.24 A.2-125,284-295
2m3xA01 3.10.330.10.6 A.1-82
1cz4A02 3.10.330.10.7 A.93-173
4a1kA01 3.10.350.10.4 A.1-48
1x6vA02 3.10.400.10.4 A.233-390
1gy6A00 3.10.450.50.49 A.3-127
5ig0A00 3.10.450.50.50 A.13-143
2geyB00 3.10.450.50.51 B.2-134
6bjuA00 3.10.450.50.52 A.23-151
3er7B00 3.10.450.50.53 B.6-128
2r4iA00 3.10.450.50.54 A.1-123
2rgqB00 3.10.450.50.55 B.3-135
1tuhA00 3.10.450.50.56 A.26-156
3ebyA00 3.10.450.50.57 A.7-163
4q53B00 3.10.450.50.58 B.1-109
3soyA00 3.10.450.50.59 A.4-145
3e99A00 3.10.450.50.60 A.3-164
3f40A00 3.10.450.50.61 A.3-113
3k0zA00 3.10.450.50.62 A.9-157
3fh1A00 3.10.450.50.63 A.8-129
3fljA00 3.10.450.50.64 A.15-155
3h3hB00 3.10.450.50.65 B.3-122
3blzA00 3.10.450.50.66 A.4-127
3fsdA00 3.10.450.50.67 A.14-134
3lygA00 3.10.450.50.68 A.1-120
4l8pA00 3.10.450.50.69 A.2-186
3f14A00 3.10.450.50.70 A.1-112
3cnxA00 3.10.450.50.71 A.6-158
2chcC00 3.10.450.50.72 C.9-167
3f7sA00 3.10.450.50.73 A.1-142
1v30A00 3.10.490.10.4 A.7-124
3kh5A01 3.10.580.10.22 A.3-144
4iysA00 3.10.580.10.23 A.1-156
2rihA00 3.10.580.10.24 A.5-135
4nocD00 3.10.580.10.25 D.5-148
4gqwA00 3.10.580.10.26 A.3-143
3c9qA00 3.10.620.10.1 A.8-202
1usuB00 3.15.10.20.2 B.26-167
3lqsA02 3.20.10.10.7 A.119-280
3lulB02 3.20.10.10.8 B.116-272
5jouA03 3.20.20.80.35 A.398-760
6fmeA01 3.20.20.80.36 A.1-86,168-433
3wdqA00 3.20.20.80.37 A.26-355
5ecuA00 3.20.20.80.38 A.2-351
4p7oB00 3.20.20.80.39 B.7-364
3weoA02 3.20.20.80.40 A.314-655
1odzA00 3.20.20.80.41 A.5-385
3ur8A00 3.20.20.80.42 A.1-321
1gcyA01 3.20.20.80.43 A.1-360
1ht6A01 3.20.20.80.44 A.2-347
3zmrB02 3.20.20.80.45 B.92-468
3suuA01 3.20.20.80.46 A.7-21,182-525
1rh9A00 3.20.20.80.47 A.4-373
1ug6A00 3.20.20.80.48 A.4-429
4aw7A02 3.20.20.80.49 A.39-369
4w5zA00 3.20.20.80.50 A.23-345
3vx0A01 3.20.20.80.51 A.1-374
1g5aA02 3.20.20.80.52 A.98-186,259-394,395-554
4wsjB01 3.20.20.80.53 B.1-348,438-445
4f8xA00 3.20.20.80.54 A.1-335
6c9xA02 3.20.20.80.55 A.157-539
3rdkB00 3.20.20.80.56 B.4-337
5bxrA02 3.20.20.80.57 A.157-501
4ee9A00 3.20.20.80.58 A.1-321
5jawA01 3.20.20.80.59 A.12-383
5d9oA01 3.20.20.80.60 A.10-347
1l8nA02 3.20.20.80.61 A.141-473
1xyzA00 3.20.20.80.62 A.26-345
3aofA00 3.20.20.80.63 A.4-311
1wzaA01 3.20.20.80.64 A.6-105,170-409
6q6nB01 3.20.20.80.65 B.5-30,78-431
1jndA01 3.20.20.80.66 A.2-277,372-420
4pmxA00 3.20.20.80.67 A.1-306
6hpfA00 3.20.20.80.68 A.1-312
4w88B00 3.20.20.80.69 B.1-340
1mxgA01 3.20.20.80.70 A.1-337
2je8A03 3.20.20.80.71 A.307-653
3uesB01 3.20.20.80.72 B.8-356
1edgA00 3.20.20.80.73 A.1-380
3vmnA02 3.20.20.80.74 A.116-495
3gzaA01 3.20.20.80.75 A.6-346
4lypB00 3.20.20.80.76 B.33-447
3qhoA00 3.20.20.80.77 A.34-410
4pysA02 3.20.20.80.78 A.129-505
2eplX02 3.20.20.80.79 X.82-402
3w0kA00 3.20.20.80.80 A.1-330
4v2xA01 3.20.20.80.81 A.54-387
5a6mA02 3.20.20.80.82 A.36-318
5i0dA03 3.20.20.80.83 A.342-722
5z0uA02 3.20.20.80.84 A.125-536
2vtfA01 3.20.20.80.85 A.7-354
5e6zA02 3.20.20.80.86 A.114-496
4cd8A00 3.20.20.80.87 A.6-318
3zssA03 3.20.20.80.88 A.227-593
4mb1A01 3.20.20.80.89 A.3-103,175-483
5a2bA01 3.20.20.80.90 A.37-399
4jcmA01 3.20.20.80.91 A.34-418
2y8kA01 3.20.20.80.92 A.2-314
4m82A00 3.20.20.80.93 A.7-399
2w5fA02 3.20.20.80.94 A.180-540
1kwgA01 3.20.20.80.95 A.1-394
1w9pA01 3.20.20.80.96 A.39-297,361-433
6d25A02 3.20.20.80.97 A.45-405
3alfA01 3.20.20.80.98 A.2-233,304-349
3bc9A02 3.20.20.80.99 A.117-230,325-504
6cafA00 3.20.20.80.100 A.26-313
3oa5B02 3.20.20.80.101 B.92-416,495-551
6f8nB01 3.20.20.80.102 B.6-262,360-404
3gycA00 3.20.20.80.103 A.13-393
5hbfA01 3.20.20.80.104 A.22-265,335-473
1uuqA00 3.20.20.80.105 A.22-431
2v3gA00 3.20.20.80.106 A.8-280
2w61A01 3.20.20.80.107 A.27-350
5axgA02 3.20.20.80.108 A.146-485
1fobA00 3.20.20.80.109 A.1-334
2vzsA03 3.20.20.80.110 A.336-674
3viiA00 3.20.20.80.111 A.8-479
2dskA00 3.20.20.80.112 A.1-300
4ba0A02 3.20.20.80.113 A.240-617
5a57A02 3.20.20.80.114 A.285-578
5dmyB03 3.20.20.80.115 B.310-654
2f2hA02 3.20.20.80.116 A.246-616
2cksB00 3.20.20.80.117 B.1-306
3dhuA01 3.20.20.80.118 A.7-353
1jz7A03 3.20.20.80.119 A.334-624
1yhtA00 3.20.20.80.120 A.16-359
1ceoA00 3.20.20.80.121 A.1-340
4yheA00 3.20.20.80.122 A.1-389
4a4aA03 3.20.20.80.123 A.289-619
1hk8A00 3.20.70.20.8 A.26-586
1jyhA00 3.20.80.10.4 A.1-155
3bvxA01 3.20.110.10.1 A.30-411
3os4A00 3.20.140.10.1 A.3-395
3dnhA02 3.20.180.10.2 A.174-256
3twlA01 3.20.190.10.4 A.2-145
1ryiA02 3.30.9.10.15 A.105-157,232-318
2r0cA02 3.30.9.10.16 A.93-129,205-305
3wgtA02 3.30.9.10.17 A.89-139,196-285
3axbA02 3.30.9.10.18 A.105-174,267-375
5e0yA00 3.30.10.20.3 A.5-72
2e3fA00 3.30.30.10.20 A.1-43
1ne5A00 3.30.30.10.21 A.1-42
1pe4A00 3.30.30.10.22 A.1-67
1jxcA00 3.30.30.10.23 A.1-68
2kskA00 3.30.30.10.24 A.1-71
3htkC02 3.30.40.10.64 C.184-237
5yc3A00 3.30.40.10.65 A.1-60
5hkxA04 3.30.40.10.66 A.343-386
4s3oC00 3.30.40.10.67 C.6-101
4xi1B00 3.30.40.10.68 B.23-97
5szcA00 3.30.40.10.69 A.1-115
4p5oB00 3.30.40.10.70 B.21-102
2g43B01 3.30.40.10.71 B.11-108
4gb0A00 3.30.40.10.72 A.13-103
4wz0A00 3.30.40.10.73 A.1-109
5c11A00 3.30.40.10.74 A.1-52
3hctA00 3.30.40.10.75 A.5-108
4nn2B00 3.30.40.10.76 B.5-126
3fl2A00 3.30.40.10.77 A.6-124
5dinA00 3.30.40.10.78 A.4-123
5o85D00 3.30.40.10.79 D.326-387
4pytA01 3.30.43.10.9 A.1-88
3js8A01 3.30.43.10.10 A.13-88
6fbqA00 3.30.50.10.5 A.5-84
2nllA00 3.30.50.10.6 A.1-66
1jidA00 3.30.56.30.2 A.5-118
1lngA00 3.30.56.30.3 A.1-87
2arpF01 3.30.60.30.10 F.14-76
1pjuA02 3.30.60.30.11 A.2-23,87-115
1pjuA01 3.30.60.30.12 A.24-86
1tbrR01 3.30.60.30.13 R.1-51
2arpF02 3.30.60.30.14 F.77-148
3hh2D04 3.30.60.30.15 D.213-287
3hh2D03 3.30.60.30.16 D.174-212
2xrcA02 3.30.60.30.17 A.45-92
2j8aA01 3.30.70.330.89 A.2-94
4lirB01 3.30.70.330.90 B.20-94
3thtA01 3.30.70.330.91 A.4-97
3md3A01 3.30.70.330.92 A.1-79
4erdA00 3.30.70.330.93 A.12-119
3vajB02 3.30.70.330.94 B.93-148
6qulU00 3.30.70.330.95 U.2-96
4iufA00 3.30.70.330.96 A.1-77
1hl6C00 3.30.70.330.97 C.12-152
4pkdB02 3.30.70.330.98 B.154-266
5mmiU01 3.30.70.330.99 U.114-195
4wkrA02 3.30.70.330.100 A.118-189
5wu6A01 3.30.70.330.101 A.3-74
4eglA02 3.30.70.330.102 A.91-153
3sxlA02 3.30.70.330.103 A.96-150
1cvjH02 3.30.70.330.104 H.88-152
1kohA01 3.30.70.330.105 A.10-106
3j7yU00 3.30.70.330.106 U.2-112
3rw7A01 3.30.70.330.107 A.50-104
3jb9a02 3.30.70.330.108 a.178-285
6d0yA00 3.30.70.330.109 A.26-171
5oomU00 3.30.70.330.110 U.2-153
1ft8E00 3.30.70.330.111 E.18-74
1wf1A01 3.30.70.330.112 A.18-107
2dnrA00 3.30.70.330.113 A.1-91
2leaA01 3.30.70.330.114 A.45-135
2lxiA00 3.30.70.330.115 A.1-91
2dnlA01 3.30.70.330.116 A.9-97
2n3lA00 3.30.70.330.117 A.1-89
2wbrA00 3.30.70.330.118 A.1-89
4uqtA00 3.30.70.330.119 A.5-93
5o2vA00 3.30.70.330.120 A.1-92
1sjqA00 3.30.70.330.121 A.12-99
2e5jA01 3.30.70.330.122 A.10-97
2u1aA00 3.30.70.330.123 A.1-88
2cqhA00 3.30.70.330.124 A.1-93
2dnzA01 3.30.70.330.125 A.3-95
2dgvA01 3.30.70.330.126 A.6-92
2jx2A00 3.30.70.330.127 A.35-121
2mjnA02 3.30.70.330.128 A.100-186
2osrA00 3.30.70.330.129 A.1-87
1whwA01 3.30.70.330.130 A.6-99
2mgzA00 3.30.70.330.131 A.1-94
1x5oA01 3.30.70.330.132 A.24-109
2la6A01 3.30.70.330.133 A.13-98
2m88A01 3.30.70.330.134 A.25-110
2mzrA00 3.30.70.330.135 A.1-95
1x4eA00 3.30.70.330.136 A.1-85
2divA01 3.30.70.330.137 A.8-92
2i38A02 3.30.70.330.138 A.66-150
2lkzA01 3.30.70.330.139 A.11-95
2u2fA00 3.30.70.330.140 A.1-85
1fjcA00 3.30.70.330.141 A.1-96
2a3jA00 3.30.70.330.142 A.22-117
5x3yA00 3.30.70.330.143 A.1-96
1sxlA00 3.30.70.330.144 A.1-97
2mkhA02 3.30.70.330.145 A.116-212
2rt3A00 3.30.70.330.146 A.1-97
4ch0S00 3.30.70.330.147 S.1-97
2disA01 3.30.70.330.148 A.8-90
1qm9A01 3.30.70.330.149 A.1-98
2f3jA02 3.30.70.330.150 A.75-172
2g1dA00 3.30.70.330.151 A.1-98
2rvjA01 3.30.70.330.152 A.1-98
2cpyA01 3.30.70.330.153 A.14-95
2dnnA01 3.30.70.330.154 A.13-94
2mzjA00 3.30.70.330.155 A.1-82
2mzsA00 3.30.70.330.156 A.1-99
1fjeB01 3.30.70.330.157 B.11-91
2cpiA01 3.30.70.330.158 A.17-97
2j76E00 3.30.70.330.159 E.20-100
2krbA00 3.30.70.330.160 A.1-81
1whvA00 3.30.70.330.161 A.1-100
2d9oA00 3.30.70.330.162 A.1-100
2mztA00 3.30.70.330.163 A.1-100
2dgwA01 3.30.70.330.164 A.9-88
2dgxA01 3.30.70.330.165 A.8-87
2fc9A00 3.30.70.330.166 A.1-101
2la4A00 3.30.70.330.167 A.1-101
2cphA01 3.30.70.330.168 A.17-95
2cpxA01 3.30.70.330.169 A.25-103
1x4dA00 3.30.70.330.170 A.1-102
2dnoA00 3.30.70.330.171 A.1-102
2dngA00 3.30.70.330.172 A.1-103
2jvoA00 3.30.70.330.173 A.28-104
2ki2A00 3.30.70.330.174 A.1-77
1weyA00 3.30.70.330.175 A.1-104
2e44A01 3.30.70.330.176 A.16-90
2krrA01 3.30.70.330.177 A.8-81
2dgtA01 3.30.70.330.178 A.10-82
2diuA01 3.30.70.330.179 A.8-80
1whyA01 3.30.70.330.180 A.19-90
1x4gA00 3.30.70.330.181 A.1-109
1whxA00 3.30.70.330.182 A.1-111
1owxA00 3.30.70.330.183 A.9-121
2rugA00 3.30.70.330.184 A.1-114
2rqcA00 3.30.70.330.185 A.1-115
2mkcA00 3.30.70.330.186 A.1-118
2dhaA00 3.30.70.330.187 A.1-123
2n3oA00 3.30.70.330.188 A.1-123
2m4mA00 3.30.70.330.189 A.1-124
2lxrA00 3.30.110.40.4 A.1-76
1je3A01 3.30.110.40.5 A.25-97
1jdqA00 3.30.110.40.6 A.1-98
1jo0A00 3.30.110.60.1 A.1-97
1z1bA01 3.30.160.60.40 A.8-64
4x9jA00 3.30.160.60.41 A.1-86
2wbsA00 3.30.160.60.42 A.3-89
2rpcA03 3.30.160.60.43 A.117-155
1wjpA03 3.30.160.60.44 A.67-107
2eprA01 3.30.160.60.45 A.11-48
2mknA00 3.30.160.60.46 A.14-57
2yu5A00 3.30.160.60.47 A.1-44
2lvhA00 3.30.160.60.48 A.7-51
2lceA01 3.30.160.60.49 A.11-43
1ncsA00 3.30.160.60.50 A.1-47
2dlqA02 3.30.160.60.51 A.32-63
2m9aA03 3.30.160.60.52 A.67-98
2nabA01 3.30.160.60.53 A.10-41
1bboA02 3.30.160.60.54 A.27-57
1wjpA01 3.30.160.60.55 A.12-42
2adrA02 3.30.160.60.56 A.30-60
2dlkA01 3.30.160.60.57 A.8-38
2lo3A01 3.30.160.60.58 A.16-44
2rsiA02 3.30.160.60.59 A.34-62
2ee8A01 3.30.160.60.60 A.17-43
2rsiA03 3.30.160.60.61 A.63-89
4reoA01 3.30.190.20.1 A.16-67,161-229
1nw1A01 3.30.200.20.97 A.32-113,140-153
2h6dA01 3.30.200.20.98 A.7-92
2gqrA01 3.30.200.20.99 A.2-84,221-237
5wp1A01 3.30.200.20.100 A.12-104,334-354
5f9eB01 3.30.200.20.101 B.16-105
6d1zA01 3.30.200.20.102 A.7-115
3uc3A01 3.30.200.20.103 A.11-97
2b9hA01 3.30.200.20.104 A.1-95,339-353
4wovA01 3.30.200.20.105 A.28-137
6fdyU01 3.30.200.20.106 U.8-92
4o38A01 3.30.200.20.107 A.23-118
1x8bA01 3.30.200.20.108 A.5-69,75-93
3mfrA01 3.30.200.20.109 A.19-107
5b2lA01 3.30.200.20.110 A.3-98
1zarA02 3.30.200.20.111 A.91-184
4f9cA01 3.30.200.20.112 A.6-102
5itaA01 3.30.200.20.113 A.22-107
3tm0A01 3.30.200.20.114 A.1-90
4h05B01 3.30.200.20.115 B.3-93
5cenA01 3.30.200.20.116 A.6-83
4pdoA01 3.30.200.20.117 A.13-117
3qyzA01 3.30.200.20.118 A.14-111,342-360
4an3A01 3.30.200.20.119 A.1-89
5iqaA01 3.30.200.20.120 A.12-101
2fmpA04 3.30.210.10.3 A.272-335
2vqeE02 3.30.230.10.37 E.69-143
