3h4jA03 1.10.8.10.29 A.276-331
1seqH02 2.60.40.10.234 H.124-223
3wdhA02 2.60.40.10.235 A.106-202
1vemA02 2.60.40.10.236 A.417-516
2vzsA02 2.60.40.10.237 A.226-335
2rikA03 2.60.40.10.238 A.193-284
1fltX00 2.60.40.10.239 X.1-95
2petA01 2.60.40.10.240 A.1-115
3amlA02 2.60.40.10.241 A.53-167
4dzbB01 2.60.40.10.242 B.3-117
1cs6A03 2.60.40.10.243 A.1-98
1pkoA00 2.60.40.10.244 A.5-130
6eh4E02 2.60.40.10.245 E.116-244
4hljA01 2.60.40.10.246 A.2-113
3dlqR01 2.60.40.10.247 R.3-103
3r0nA00 2.60.40.10.248 A.1-128
5irbA01 2.60.40.10.249 A.6-109
1cfbA02 2.60.40.10.250 A.100-205
4eq3A02 2.60.40.10.251 A.108-215
4grmA01 2.60.40.10.252 A.2-110
4v2bA00 2.60.40.10.253 A.47-156
5ghuA02 2.60.40.10.254 A.129-222
3hrpA01 2.60.40.10.255 A.10-104
3p2tA01 2.60.40.10.256 A.2-95
2petA02 2.60.40.10.257 A.116-231
3mtrA01 2.60.40.10.258 A.15-111
3zssA01 2.60.40.10.259 A.35-128,208-226
1u58A02 2.60.40.10.260 A.143-242
3dlqR02 2.60.40.10.261 R.104-211
3wnoA01 2.60.40.10.262 A.6-105
5aeaA00 2.60.40.10.263 A.1-100
2wqrA03 2.60.40.10.264 A.213-322
5yxkA00 2.60.40.10.265 A.2-111
4iihB04 2.60.40.10.266 B.735-841
3zmrA01 2.60.40.10.267 A.7-91
4h8wC01 2.60.40.10.268 C.1-98
6ns1A02 2.60.40.10.269 A.112-209
4nzjA01 2.60.40.10.270 A.4-94
5i8cA01 2.60.40.10.271 A.1-122
3khqA00 2.60.40.10.272 A.17-116
5a2fA02 2.60.40.10.273 A.134-245
2r39A00 2.60.40.10.274 A.8-118
2gw5A02 2.60.40.10.275 A.96-197
4lpvA00 2.60.40.10.276 A.1-96
5ebgA00 2.60.40.10.277 A.2-115
4nn5C02 2.60.40.10.278 C.100-200
4jn2B01 2.60.40.10.279 B.2-122
1z0nA00 2.60.40.10.280 A.10-96
4pyhA02 2.60.40.10.281 A.167-257
1fhgA00 2.60.40.10.282 A.34-135
1bquA02 2.60.40.10.283 A.105-214
3f62A00 2.60.40.10.284 A.1-108
5ghlA00 2.60.40.10.285 A.1-108
6b6lA05 2.60.40.10.286 A.668-776
4yfeA02 2.60.40.10.287 A.94-194
2qsvA02 2.60.40.10.288 A.113-220
3bgaA04 2.60.40.10.289 A.618-722
3kptA03 2.60.40.10.290 A.250-355
3ojmB02 2.60.40.10.291 B.113-217
3ry4A01 2.60.40.10.292 A.1-86
1fyhB02 2.60.40.10.293 B.109-222
1xt5A00 2.60.40.10.294 A.1-135
2pkdA00 2.60.40.10.295 A.5-111
2fboJ02 2.60.40.10.296 J.138-250
3rbsA01 2.60.40.10.297 A.6-118
2wv3A02 2.60.40.10.298 A.91-190
3v6oB01 2.60.40.10.299 B.3-108
4m4pA05 2.60.40.10.300 A.414-517
5eh1A02 2.60.40.10.301 A.119-215
3edfA01 2.60.40.10.302 A.3-92
3n06B01 2.60.40.10.303 B.1-101
3qp3A00 2.60.40.10.304 A.1-101
4m02A02 2.60.40.10.305 A.117-204
3kptB01 2.60.40.10.306 B.1-108
1qfoC00 2.60.40.10.307 C.1-119
2xy2A02 2.60.40.10.308 A.95-189
4ktyB04 2.60.40.10.309 B.638-737
3bp6B02 2.60.40.10.310 B.104-191
4wvrB00 2.60.40.10.311 B.4-102
4mb4A03 2.60.40.10.312 A.400-483
1eerC01 2.60.40.10.313 C.23-119
1bquA01 2.60.40.10.314 A.5-104
3oq3B03 2.60.40.10.315 B.227-329
4m9pA02 2.60.40.10.316 A.101-191
3ry4A02 2.60.40.10.317 A.87-170
5faaA00 2.60.40.10.318 A.149-271
5dmyA05 2.60.40.10.319 A.775-886
1z9lA00 2.60.40.10.320 A.3-127
1cczA01 2.60.40.10.321 A.1-93
1waaC00 2.60.40.10.322 C.1-93
3vh8G01 2.60.40.10.323 G.24-116
1qg3A02 2.60.40.10.324 A.92-195
6df3H01 2.60.40.10.325 H.1-104
4gafB02 2.60.40.10.326 B.98-203
5jdjA00 2.60.40.10.327 A.1-91
4g9fD01 2.60.40.10.328 D.1-114
1cfbA01 2.60.40.10.329 A.1-99
2a38B01 2.60.40.10.330 B.1-99
3dbxA02 2.60.40.10.331 A.187-285
3orjA01 2.60.40.10.332 A.5-111
3f7qA01 2.60.40.10.333 A.5-95
1iamA02 2.60.40.10.334 A.84-185
2qsvA01 2.60.40.10.335 A.1-112
2vsdA00 2.60.40.10.336 A.3-95
3hrzB02 2.60.40.10.337 B.81-185
4zocA03 2.60.40.10.338 A.607-724
5ewiH01 2.60.40.10.339 H.1-124
1q72H02 2.60.40.10.340 H.122-213
2je8B05 2.60.40.10.341 B.756-844
6i6rB03 2.60.40.10.342 B.520-618
2j8hA02 2.60.40.10.343 A.100-197
4w4oC03 2.60.40.10.344 C.176-267
1f00I01 2.60.40.10.345 I.1-95
1neuA00 2.60.40.10.346 A.1-119
1yq2A04 2.60.40.10.347 A.610-724
3qdhA02 2.60.40.10.348 A.160-290
4p0dA03 2.60.40.10.349 A.319-403,454-483
2c3gA00 2.60.40.10.350 A.1-98
3og4B01 2.60.40.10.351 B.4-106
3pdgA00 2.60.40.10.352 A.1-91
1axiB02 2.60.40.10.353 B.132-232
4fa8A01 2.60.40.10.354 A.2-105
5eb9A00 2.60.40.10.355 A.7-118
2xy1A02 2.60.40.10.356 A.96-192
2vtfA03 2.60.40.10.357 A.532-622
3lqmA02 2.60.40.10.358 A.98-199
4hhaB01 2.60.40.10.359 B.1-125
3wihA00 2.60.40.10.360 A.1-96
4bfgA01 2.60.40.10.361 A.14-123
4m4pA04 2.60.40.10.362 A.301-413
2j8hA01 2.60.40.10.363 A.3-99
3gfuA01 2.60.40.10.364 A.2-114
3x17A01 2.60.40.10.365 A.12-113
3cafA01 2.60.40.10.366 A.5-100
3s98A02 2.60.40.10.367 A.101-203
4ay0B02 2.60.40.10.368 B.132-213
4cvuA04 2.60.40.10.369 A.738-853
4eq3A01 2.60.40.10.370 A.10-107
3oq3B02 2.60.40.10.371 B.127-226
1t0pB00 2.60.40.10.372 B.1-86
5eiqA01 2.60.40.10.373 A.1-97
1zxqA02 2.60.40.10.374 A.86-192
3bmvA03 2.60.40.10.375 A.496-579
5z1aA02 2.60.40.10.376 A.169-286
1cs6A04 2.60.40.10.377 A.293-382
5jipA02 2.60.40.10.378 A.231-320
5h5zA02 2.60.40.10.379 A.178-265
3fg1A01 2.60.60.20.3 A.5-118
3v98B01 2.60.60.20.4 B.5-132
6f6oA00 2.60.90.10.3 A.7-196
1svbA01 2.60.98.10.1 A.1-51,135-191,272-299
3gd0A01 2.60.110.10.2 A.3-205,321-367
2bnmA02 2.60.120.10.82 A.79-198
5fpzA00 2.60.120.10.83 A.1-110
1fi2A00 2.60.120.10.84 A.1-201
5j3uA01 2.60.120.10.85 A.1-124
3lagB00 2.60.120.10.86 B.1-97
1pmiA03 2.60.120.10.87 A.1-8,330-440
3mdpA00 2.60.120.10.88 A.3-142
2gu9A01 2.60.120.10.89 A.10-112
5tpvB00 2.60.120.10.90 B.1-138
1tq5A02 2.60.120.10.91 A.11-135
1o7fA01 2.60.120.10.92 A.19-173
5c8wB00 2.60.120.10.93 B.13-133
2vecA02 2.60.120.10.94 A.35-158
3h8uA00 2.60.120.10.95 A.4-125
3es4A00 2.60.120.10.96 A.1-116
4i2oA01 2.60.120.10.97 A.38-155
3la7A01 2.60.120.10.98 A.26-149
1sefA01 2.60.120.10.99 A.15-38,158-264
3es1A02 2.60.120.10.100 A.41-166
4lejA02 2.60.120.10.101 A.209-391
3lwcA00 2.60.120.10.102 A.2-113
6exmA01 2.60.120.10.103 A.4-111
2pytA00 2.60.120.10.104 A.4-131
1y3tA02 2.60.120.10.105 A.23-192
5zbeA02 2.60.120.10.106 A.8-114
4e2gC00 2.60.120.10.107 C.1-126
2ozjA00 2.60.120.10.108 A.3-111
1yllC02 2.60.120.10.109 C.11-119
3m3iB01 2.60.120.10.110 B.19-211
3fx3B01 2.60.120.10.111 B.5-140
6b4sB01 2.60.120.10.112 B.2-266
3ebrA00 2.60.120.10.113 A.3-158
3bcwA01 2.60.120.10.114 A.19-122
3kmhA00 2.60.120.10.115 A.21-242
3h7jA01 2.60.120.10.116 A.2-14,125-225
3hqxA00 2.60.120.10.117 A.6-110
4l11A02 2.60.120.10.118 A.58-203
2b8mA00 2.60.120.10.119 A.1-109
1tq5A01 2.60.120.10.120 A.2-10,136-239
1o4tA00 2.60.120.10.121 A.19-133
1yudA01 2.60.120.10.122 A.12-166
1sefA02 2.60.120.10.123 A.39-157
3cjxA01 2.60.120.10.124 A.10-159
3h7jA02 2.60.120.10.125 A.15-124
5d1iA00 2.60.120.10.126 A.10-126
5j7mA00 2.60.120.10.127 A.2-123
5e44A01 2.60.120.10.128 A.28-173
1o5lA00 2.60.120.10.129 A.13-141
5h5oA00 2.60.120.10.130 A.1-125
3b02A01 2.60.120.10.131 A.1-110
2qjvA02 2.60.120.10.132 A.14-126
2wfpA01 2.60.120.10.133 A.1-7,304-394
3o14A00 2.60.120.10.134 A.1-222
4qglA00 2.60.120.10.135 A.1-174
3e6dB00 2.60.120.10.136 B.19-228
2vecA01 2.60.120.10.137 A.30-34,159-256
3fjsC00 2.60.120.10.138 C.8-114
1yllA01 2.60.120.10.139 A.4-14,118-198
4f7zA03 2.60.120.10.140 A.289-467
2qvsB02 2.60.120.10.141 B.165-295
3cf6E02 2.60.120.10.142 E.56-186
3m70A01 2.60.120.10.143 A.2-107
3dv8A01 2.60.120.10.144 A.5-143
2oyzA00 2.60.120.10.145 A.1-94
1yhfA01 2.60.120.10.146 A.6-115
5cu1A00 2.60.120.10.147 A.15-211
4d7sA02 2.60.120.10.148 A.68-197
1ft9A01 2.60.120.10.149 A.2-132
1sq4A01 2.60.120.10.150 A.3-39,166-275
3rnsA01 2.60.120.10.151 A.3-110
5gylA01 2.60.120.10.152 A.21-306
1qwrB01 2.60.120.10.153 B.6-230
4yrdA02 2.60.120.10.154 A.241-359
2p17A00 2.60.120.10.155 A.2-249
1qwrA02 2.60.120.10.156 A.231-319
2xlgA00 2.60.120.10.157 A.6-239
1o5uA00 2.60.120.10.158 A.14-101
5wxuD01 2.60.120.10.159 D.27-299
3bb6C00 2.60.120.10.160 C.2-113
1y9qA02 2.60.120.10.161 A.89-181
3dl3E00 2.60.120.10.162 E.2-111
5jemA00 2.60.200.10.6 A.11-213
1u7vB00 2.60.200.10.7 B.1-236
2pieA01 2.60.200.20.1 A.7-132
3va4A00 2.60.200.20.2 A.20-130
5a8iA00 2.60.200.20.3 A.97-212
4d6gA03 2.60.220.10.2 A.418-483,524-587
2vgaA00 2.60.240.10.2 A.14-207
1gmuA02 2.60.260.20.2 A.1-71
2ii8D00 2.60.290.11.2 D.3-105
3qjoA02 2.60.310.10.2 A.287-398
5ifpA03 2.60.390.10.2 A.574-662
1xp4C02 2.60.410.10.2 C.279-377
1gkuB07 2.60.510.20.1 B.733-771,891-953
4l9bA01 2.60.520.10.2 A.2-173
2wd6A00 2.60.530.10.2 A.14-315
5tipA01 2.70.9.10.2 A.34-221
1e0fI01 2.70.10.10.2 I.8-40
1i7dA03 2.70.20.10.3 A.218-287,418-488
3hzaA01 2.70.40.10.4 A.13-139
1sixA00 2.70.40.10.5 A.12-164
3lqwA00 2.70.40.10.6 A.23-151
5ml3B00 2.70.50.40.1 B.1-149
3gqqF00 2.70.50.40.2 F.14-194
2hsiB02 2.70.70.10.3 B.124-280
4bh5A00 2.70.70.10.4 A.13-142
3mwxA00 2.70.98.10.7 A.3-324
2d73A01 2.70.98.10.8 A.22-305
1jovA00 2.70.98.10.9 A.1-269
2wvxA01 2.70.98.10.10 A.1-33,35-269,294-324
1n7oA01 2.70.98.10.11 A.379-635
2htaA00 2.70.98.10.12 A.13-309
1ojjA00 2.70.100.10.2 A.2-399
1q25A03 2.70.130.10.3 A.286-432
4c4aA02 2.70.160.11.3 A.177-369
5fwaA02 2.70.160.11.4 A.257-446
4zk1C00 2.70.170.10.2 C.4-213
2vldA01 2.70.180.20.1 A.2-120
2c36A00 2.70.230.10.2 A.1-285
3vwcA00 2.80.10.50.10 A.1-146
5ehaA00 2.80.10.50.11 A.1-153
1l2hA00 2.80.10.50.12 A.4-152
1knmA00 2.80.10.50.13 A.2-130
2p39A00 2.80.10.50.14 A.5-146
1ybiA02 2.80.10.50.15 A.148-288
4g9mB00 2.80.10.50.16 B.1-143
2x2sC00 2.80.10.50.17 C.2-153
4efpA02 2.80.10.50.18 A.79-239
4tkcA00 2.90.10.10.2 A.2-119
3eb7A03 2.100.10.10.4 A.240-436
1ji6A03 2.100.10.10.5 A.239-437
1rieA00 2.102.10.10.3 A.3-129
3dqyA00 2.102.10.10.4 A.1-106
4qqsB00 2.115.10.20.3 B.3-315
5a8cA00 2.115.10.20.4 A.27-325
4pvaA00 2.115.10.20.5 A.15-342
4j9tA00 2.120.10.10.8 A.2-356
4xjwA02 2.120.10.10.9 A.191-319,418-658
1w0pA02 2.120.10.10.10 A.214-353,541-777
1so7A00 2.120.10.10.11 A.6-379
1nscA00 2.120.10.10.12 A.1-390
4uf7B00 2.120.10.10.13 B.7-422
2vsmA00 2.120.10.10.14 A.1-416
4l9oA00 2.130.10.10.14 A.2-348
1gxrA00 2.130.10.10.15 A.1-337
4u7aA00 2.130.10.10.16 A.435-826
1pbyB00 2.130.10.10.17 B.1-337
2aq5A01 2.130.10.10.18 A.8-352
3mmyA00 2.130.10.10.19 A.4-365
5kwnA00 2.130.10.10.20 A.11-336
3odtA00 2.130.10.10.21 A.5-301
3fm0A00 2.130.10.10.22 A.4-335
4j0wA00 2.130.10.10.23 A.1-332
6igbA00 2.130.10.10.24 A.2-364
3w15A01 2.130.10.10.25 A.3-365
2bbkH00 2.130.10.10.26 H.1-355
1w6sA00 2.140.10.10.1 A.1-596
5d7wA01 2.150.10.10.1 A.1-15,248-469
3gosA02 2.160.10.10.6 A.89-258
3vbiA01 2.160.10.10.7 A.18-188
4e6uA01 2.160.10.10.8 A.8-198
2rijA03 2.160.10.10.9 A.208-381
4c2lA00 2.160.20.10.8 A.17-388
1qcxA00 2.160.20.10.9 A.1-359
4pmhA00 2.160.20.10.10 A.1-366
5amvA00 2.160.20.10.11 A.1-399
1ru4A00 2.160.20.10.12 A.1-400
1pxzA00 2.160.20.10.13 A.1-346
1hg8A00 2.160.20.10.14 A.1-349
6at4A02 2.170.8.10.2 A.43-63,284-341
1k4tA01 2.170.11.10.2 A.28-58,147-258
3nzmA00 2.170.16.10.2 A.5-167
4g0rA00 2.170.30.10.2 A.180-735
4j6rG01 2.170.40.20.2 G.1-81,82-359
1twfC02 2.170.120.12.3 C.43-168
2a6hA02 2.170.120.12.4 A.50-171
5fokB01 2.170.130.10.2 B.28-157
1txjA00 2.170.150.10.2 A.1-171
1g8lA03 2.170.190.11.2 A.51-142
2jexA02 2.170.200.10.2 A.99-199
2x1lC02 2.170.220.10.2 C.125-237
3s04A02 2.170.230.10.2 A.81-189
2f69A02 2.170.270.10.3 A.89-231
3rayA00 2.170.270.10.4 A.29-192
4aqsA02 2.170.300.10.2 A.257-372
3kwlA01 3.10.20.30.14 A.17-113
2piaA03 3.10.20.30.15 A.226-321
2dbyA02 3.10.20.30.16 A.47-68,284-366
2y5cA00 3.10.20.30.17 A.3-109
1i7hC00 3.10.20.30.18 C.2-109
2h88B01 3.10.20.30.19 B.8-114
2bs2B01 3.10.20.30.20 B.1-106
1l5pA00 3.10.20.30.21 A.1-93
3zyyX01 3.10.20.30.22 X.3-95
5ffiE00 3.10.20.30.23 E.2-116
1tkeA01 3.10.20.30.24 A.1-64
2q5wD00 3.10.20.30.25 D.1-77
4idiB00 3.10.20.30.26 B.21-141
3rpfC00 3.10.20.30.27 C.3-74
4wwmA00 3.10.20.30.28 A.2-80
3cwiA00 3.10.20.30.29 A.2-68
2cu3B00 3.10.20.30.30 B.2-64
1zud400 3.10.20.30.31 4.1-66
3n9yC00 3.10.20.30.32 C.27-94
1kf6B01 3.10.20.30.33 B.2-105
1doiA00 3.10.20.30.34 A.1-128
4a9aA03 3.10.20.30.35 A.299-376
5ldaB00 3.10.20.30.36 B.5-69
4hrsA00 3.10.20.30.37 A.1-66
3hvzA00 3.10.20.30.38 A.6-69
1wxqA03 3.10.20.30.39 A.319-395
4p6vF01 3.10.20.30.40 F.35-129
1nyrB01 3.10.20.30.41 B.1-65
1tygB00 3.10.20.30.42 B.22-86
1jq4A00 3.10.20.30.43 A.1-98
2g1eA00 3.10.20.30.44 A.1-90
2k9xA00 3.10.20.30.45 A.1-102
1b9rA00 3.10.20.30.46 A.1-105
1ryjA00 3.10.20.30.47 A.1-70
3c0wA01 3.10.28.10.3 A.3-122
1dq3A04 3.10.28.10.4 A.225-338
1bcpB01 3.10.40.10.2 B.4-89
4mnkA02 3.10.50.10.6 A.240-304
3g6mA02 3.10.50.10.7 A.275-337
1jndA02 3.10.50.10.8 A.278-371
4s3jA03 3.10.50.10.9 A.325-384
1kfwA02 3.10.50.10.10 A.318-380
4nzcA02 3.10.50.10.11 A.258-354
4uwwA00 3.10.100.10.7 A.1-132
3vykA00 3.10.100.10.8 A.2-129
5b1rA00 3.10.100.10.9 A.2-121
1j34A00 3.10.100.10.10 A.1-129
1litA00 3.10.100.10.11 A.14-144
3drfA02 3.10.105.10.3 A.299-539
2wolA02 3.10.105.10.4 A.300-530
4onlA00 3.10.110.10.5 A.14-153
3obqA00 3.10.110.10.6 A.6-146
5ojjF00 3.10.110.10.7 F.4-153
3we5A00 3.10.110.10.8 A.22-162
3x34A00 3.10.120.10.1 A.8-94
2w3xC00 3.10.129.10.13 C.1-144
4rljA00 3.10.129.10.14 A.3-146
1vpmB00 3.10.129.10.15 B.15-165
1iq6B00 3.10.129.10.16 B.2-134
3kuvB00 3.10.129.10.17 B.5-137
3lw3B00 3.10.129.10.18 B.1-139
5buwA00 3.10.129.10.19 A.20-163
4rljB00 3.10.129.10.20 B.1-147
4ffuD00 3.10.129.10.21 D.26-172
3f5oA00 3.10.129.10.22 A.2-139
2c2iA00 3.10.129.10.23 A.2-150
2v1oB00 3.10.129.10.24 B.2-149
1dy5A00 3.10.130.10.1 A.1-124
5agvA01 3.10.150.10.4 A.14-137
5wceA03 3.10.150.10.5 A.261-379
4trtA01 3.10.150.10.6 A.1-122
5umpA00 3.10.180.10.10 A.16-136
1u69D00 3.10.180.10.11 D.5-160
2a4xA00 3.10.180.10.12 A.2-132
4gymB00 3.10.180.10.13 B.1-144
1kw3B01 3.10.180.10.14 B.1-132
1kw3B02 3.10.180.10.15 B.133-286
2p7oA00 3.10.180.10.16 A.1-132
2ei0A02 3.10.180.10.17 A.139-295
1zswA02 3.10.180.10.18 A.90-239
3fw3B00 3.10.200.10.3 B.4-266
3jxgA00 3.10.200.10.4 A.7-269
5z29A00 3.10.270.10.2 A.1-303
1p32B00 3.10.280.10.2 B.1-209
4lgtA01 3.10.290.10.4 A.5-65
1h3fA03 3.10.290.10.5 A.352-430
3hp7A01 3.10.290.10.6 A.3-67
2gkeA02 3.10.310.10.6 A.115-139,150-261
1xubA01 3.10.310.10.7 A.21-139,288-298
2gkeA01 3.10.310.10.8 A.1-114,262-274
2pw0B02 3.10.310.10.9 B.194-375
4lb0A02 3.10.310.10.10 A.148-311
1wlfA02 3.10.330.10.2 A.98-177
5k2lA00 3.10.350.10.1 A.1-49
4ntqA00 3.10.380.20.1 A.160-235
5c4vF00 3.10.390.10.2 F.26-118
1r6xA01 3.10.400.10.1 A.1-161
4jimA03 3.10.410.10.2 A.446-535
1fx3B00 3.10.420.10.2 B.15-163
1vs8H02 3.10.430.100.2 H.61-149
1vx7700 3.10.440.10.2 7.15-116
3sxxC01 3.10.450.40.2 C.16-117
3sxxD02 3.10.450.40.3 D.123-231
3wa2X01 3.10.450.40.4 X.1-87
1w7cA03 3.10.450.40.5 A.135-249
2ia7A00 3.10.450.40.6 A.5-134
1w7cA02 3.10.450.40.7 A.18-134
6grrA02 3.10.450.40.8 A.80-180
6grrA03 3.10.450.40.9 A.181-286
3loyA01 3.10.450.40.10 A.1-101
3hi7B01 3.10.450.40.11 B.8-117
1ksiA01 3.10.450.40.12 A.1-96
1ksiA02 3.10.450.40.13 A.97-192
3loyA02 3.10.450.40.14 A.107-220
1tu5A01 3.10.450.40.15 A.41-148
4exrA01 3.10.450.40.16 A.22-102
3nqzA02 3.10.450.40.17 A.97-180
3hi7B02 3.10.450.40.18 B.118-259
3pgbA03 3.10.450.40.19 A.183-298
4exrA02 3.10.450.40.20 A.103-173
2gu3A01 3.10.450.40.21 A.9-73
2gu3A02 3.10.450.40.22 A.74-136
1tu5B02 3.10.450.40.23 B.155-276
5iw9B00 3.10.450.40.24 B.4-128
2k0mA00 3.10.450.40.25 A.1-104
2w2sA00 3.10.460.20.1 A.30-202
3judA00 3.10.490.10.1 A.1-151
2h7aA01 3.10.510.20.1 A.12-87
6nxiA00 3.10.520.10.2 A.4-316
2re3A01 3.10.540.10.2 A.11-93
2j58A02 3.10.560.10.2 A.48-64,155-232
2qx2A00 3.10.570.10.2 A.13-344
2rc3C00 3.10.580.10.7 C.4-131
1pbjA00 3.10.580.10.8 A.2-120
3ocmB00 3.10.580.10.9 B.19-164
2yzqA02 3.10.580.10.10 A.122-278
3ddjA01 3.10.580.10.11 A.14-152
4hnvB02 3.10.600.10.2 B.483-507,1021-1085
2ot9A01 3.10.640.10.2 A.2-177
5ax2A00 3.10.660.10.2 A.2-79
2ebfX01 3.10.670.10.2 X.36-45,564-746
6baqB00 3.15.10.10.3 B.35-244
2obdA01 3.15.20.10.2 A.5-17,207-476
4chiA02 3.20.10.10.2 A.146-321
1wpoB00 3.20.16.10.2 B.10-256
3qllA00 3.20.20.60.26 A.41-276
3lg3B00 3.20.20.60.27 B.2-418
2vxnA00 3.20.20.70.1 A.3-251
3b4uA00 3.20.20.70.2 A.4-290
2y7eB00 3.20.20.70.3 B.4-281
3a5fA00 3.20.20.70.4 A.1-291
5cgqA00 3.20.20.70.5 A.1-268
1p1xB00 3.20.20.70.6 B.1-251
3o1nA00 3.20.20.70.7 A.25-276
3ewwA00 3.20.20.70.8 A.3-259
2e6fA01 3.20.20.70.9 A.2-54,73-197,224-313
6fz6A02 3.20.20.70.10 A.81-359
4i7wA00 3.20.20.70.11 A.15-308
4x2rA00 3.20.20.70.12 A.3-250
4a29A00 3.20.20.70.13 A.2-248
3v75A01 3.20.20.70.14 A.26-300
1gvfB00 3.20.20.70.15 B.2-284
4fb7A00 3.20.20.70.16 A.7-272
4do4A01 3.20.20.70.17 A.1-290
3chvA00 3.20.20.70.18 A.6-284
4o4vA00 3.20.20.70.19 A.2-252
3daqA00 3.20.20.70.20 A.1-292
5d38A00 3.20.20.70.21 A.2-264
3m0zD00 3.20.20.70.22 D.1-249
4eivA00 3.20.20.70.23 A.16-289
3lbmC00 3.20.20.70.24 C.25-318
4lrtA01 3.20.20.70.25 A.10-275
1f6kC00 3.20.20.70.26 C.1-293
3a21B01 3.20.20.70.27 B.3-295
3ta6B00 3.20.20.70.28 B.2-257
2zbtA00 3.20.20.70.29 A.3-278
2nx9A01 3.20.20.70.30 A.4-287
4ur7D00 3.20.20.70.31 D.1-301
6gvdA02 3.20.20.70.32 A.181-505
2nwrA00 3.20.20.70.33 A.2-264
2yfoA02 3.20.20.70.34 A.310-624
1ujpA00 3.20.20.70.35 A.1-271
3c6cA00 3.20.20.70.36 A.21-314
4lvfB02 3.20.20.70.37 B.154-391,471-487
3w07A00 3.20.20.70.38 A.14-228
3cwnA00 3.20.20.70.39 A.22-337
6arhA00 3.20.20.70.40 A.25-324
3r89A00 3.20.20.70.41 A.1-289
6djtA00 3.20.20.70.42 A.20-331
2iswB00 3.20.20.70.43 B.2-323
4ipiA01 3.20.20.70.44 A.8-278
2agkA00 3.20.20.70.45 A.1-260
5ahnA00 3.20.20.70.46 A.1-467
1w3iA00 3.20.20.70.47 A.1-293
1z41A00 3.20.20.70.48 A.2-338
1w5qB00 3.20.20.70.49 B.6-336
2tpsB00 3.20.20.70.50 B.1-227
1vyrA00 3.20.20.70.51 A.2-364
3ndoA00 3.20.20.70.52 A.7-231
3na8B00 3.20.20.70.53 B.23-313
3oa3A00 3.20.20.70.54 A.22-274
3tdnB00 3.20.20.70.55 B.6-247
5c54G00 3.20.20.70.56 G.5-311
3elfA00 3.20.20.70.57 A.2-346
1qwgA00 3.20.20.70.58 A.1-251
6ofuB00 3.20.20.70.59 B.1-278
2r8wA00 3.20.20.70.60 A.30-326
3clmA00 3.20.20.70.61 A.1-352
4m7tA00 3.20.20.70.62 A.21-270
5fewA00 3.20.20.70.63 A.12-357
1sznA01 3.20.20.70.64 A.1-315
4ml9A00 3.20.20.70.65 A.2-284
1gteB05 3.20.20.70.66 B.533-844
1q6oB00 3.20.20.70.67 B.2-216
5k4xA00 3.20.20.70.68 A.15-368
3n3mB00 3.20.20.70.69 B.19-340
4wuiA00 3.20.20.70.70 A.3-207
3e49A00 3.20.20.70.71 A.5-311
1ypfA00 3.20.20.70.72 A.12-329
3a9iA01 3.20.20.70.73 A.2-271
3e96A00 3.20.20.70.74 A.7-302
3sgzB00 3.20.20.70.75 B.1-349
4o0kA00 3.20.20.70.76 A.7-329
3dz1A00 3.20.20.70.77 A.2-302
4c1lA00 3.20.20.70.78 A.1-262
1fcqA00 3.20.20.70.79 A.10-330
5a5wA00 3.20.20.70.80 A.1-245
5e1qA02 3.20.20.70.81 A.287-559
4ov4A01 3.20.20.70.82 A.23-300
5z9yB00 3.20.20.70.83 B.5-247
4n02A00 3.20.20.70.84 A.23-354
2z6iA00 3.20.20.70.85 A.2-320
4utuA00 3.20.20.70.86 A.1-229
5umfC00 3.20.20.70.87 C.11-234
3qw3A01 3.20.20.70.88 A.2-255
1h16A00 3.20.70.20.3 A.1-759
1l1lA01 3.20.70.20.4 A.4-180,293-565,621-685
3r8jA00 3.20.80.10.1 A.22-201
2k6aA00 3.20.120.10.2 A.1-68
1k3xA01 3.20.190.10.1 A.1-126
1ia9A02 3.20.200.10.2 A.175-280
3aljA02 3.30.9.10.4 A.49-105,176-270
3oz2A02 3.30.9.10.5 A.71-88,176-270,351-397
3dmeA02 3.30.9.10.6 A.87-143,227-322
1to2I00 3.30.10.10.3 I.1-64
3w0eA00 3.30.10.10.4 A.1-68
2sn3A00 3.30.30.10.5 A.1-65
4he7A00 3.30.30.10.6 A.2-54
5cy0A00 3.30.30.10.7 A.1-63
3e7rL01 3.30.30.10.8 L.11-40
6ay8A00 3.30.30.10.9 A.1-40
5d1mB01 3.30.40.10.16 B.4-97
5wlfA00 3.30.40.10.17 A.1-60
2puyB00 3.30.40.10.18 B.1-60
4ybmA01 3.30.40.10.19 A.2-61
4up0A00 3.30.40.10.20 A.1-98
4r2yC00 3.30.40.10.21 C.4-68
2cklB01 3.30.40.10.22 B.50-120
4zdtC00 3.30.40.10.23 C.3-72
2bayE00 3.30.40.10.24 E.1-59
5tabA00 3.30.40.10.25 A.1-53
2ri7A01 3.30.40.10.26 A.7-63
2yhoE00 3.30.40.10.27 E.6-75
2y1nA04 3.30.40.10.28 A.316-389
4ca1A01 3.30.40.10.29 A.4-61
3zvzB00 3.30.40.10.30 B.1-55
3u5nA01 3.30.40.10.31 A.3-77
4pvkA01 3.30.43.10.3 A.9-109
4o95A01 3.30.43.10.4 A.21-98,502-514
4olnA00 3.30.50.10.2 A.2-73
1v4pA02 3.30.54.20.1 A.73-119
2cxiA03 3.30.56.10.3 A.279-348
