2z4sA02 1.10.8.60.51 A.264-335
2yevB02 2.60.40.420.84 B.112-337
4zk8A00 2.60.40.420.85 A.18-311
5tb7B00 2.60.40.420.86 B.13-323
4bxsV03 2.60.40.420.87 V.318-671
1sluA00 2.60.40.550.1 A.10-142
1fi8C00 2.60.40.550.2 C.6-84
1bg1A02 2.60.40.630.1 A.196-340
1y1uA02 2.60.40.630.2 A.206-344
4gfxA00 2.60.40.640.1 A.1-151
4r7vA00 2.60.40.640.2 A.4-170
6md5A01 2.60.40.640.3 A.4-148
6md5A02 2.60.40.640.4 A.149-291
4ll1C02 2.60.40.640.5 C.152-297
3uguA02 2.60.40.640.6 A.195-370
5f0jB02 2.60.40.640.7 B.159-335
2xtsA02 2.60.40.650.1 A.261-390
2a9dA02 2.60.40.650.2 A.250-372
5k3xA02 2.60.40.650.3 A.257-369
2biiA02 2.60.40.650.4 A.240-418
3bwzA00 2.60.40.680.1 A.3-173
5aozA00 2.60.40.680.2 A.24-164
2vn6A00 2.60.40.680.3 A.1-151
4dh2A00 2.60.40.680.4 A.7-164
1tyjA00 2.60.40.680.5 A.1-170
4uypA01 2.60.40.680.6 A.1-140
1aohB00 2.60.40.680.7 B.1-147
2oznA00 2.60.40.680.8 A.30-162
2vo8A00 2.60.40.680.9 A.7-142
4wkzB00 2.60.40.680.10 B.8-191
2zf9B00 2.60.40.680.11 B.11-189
2xdhA00 2.60.40.680.12 A.1-163
5lxvA01 2.60.40.680.13 A.4-171
1ayoA00 2.60.40.690.1 A.1-130
3hrzC02 2.60.40.690.2 C.77-218
2pn5A10 2.60.40.690.3 A.1173-1318
3cu7A12 2.60.40.690.4 A.1372-1521
4fxkC01 2.60.40.690.5 C.2-134
1f0lA03 2.60.40.700.1 A.380-533
3zucA00 2.60.40.710.1 A.1-153
3zqxA00 2.60.40.710.2 A.1-146
4b9fA00 2.60.40.710.3 A.1-152
4b9cA00 2.60.40.710.4 A.1-150
2wnxA00 2.60.40.710.5 A.6-162
5gxxA02 2.60.40.710.6 A.443-599
6d5bA00 2.60.40.710.7 A.16-168
4mziA00 2.60.40.720.1 A.4-196
6ggcA00 2.60.40.720.2 A.3-199
1t4wA00 2.60.40.720.3 A.1-196
1eaqB00 2.60.40.720.4 B.4-128
3qzbA00 2.60.40.730.1 A.12-143
1vziA02 2.60.40.730.2 A.40-126
4bv1A00 2.60.40.730.3 A.1-109
4bk8A00 2.60.40.730.4 A.2-124
1dfxA00 2.60.40.730.5 A.1-125
4d7pA00 2.60.40.730.6 A.16-111
4uzgA01 2.60.40.740.1 A.2-166
2x9zA01 2.60.40.740.2 A.1-149
2woyA02 2.60.40.740.3 A.199-356
3hr6A02 2.60.40.740.4 A.144-300
3uxfA02 2.60.40.740.5 A.182-347
2woyA01 2.60.40.740.6 A.24-198
2qngA01 2.60.60.30.1 A.28-192
4xc5B00 2.60.90.20.2 B.55-215
1wlgA02 2.60.98.20.1 A.75-214
1stmA00 2.60.120.220.2 A.17-157
1za7A00 2.60.120.220.3 A.15-165
5wkwA02 2.60.120.230.1 A.159-309
3pmsA02 2.60.120.230.2 A.143-318
3pmsA01 2.60.120.230.3 A.8-142
4r4xA03 2.60.120.230.4 A.374-546
3tewA02 2.60.120.240.1 A.259-465
4bj0A00 2.60.120.260.1 A.1-167
6fmcA00 2.60.120.260.2 A.1-158
1pmhX00 2.60.120.260.3 X.3-185
3og2A04 2.60.120.260.4 A.648-667,846-1003
3og2A05 2.60.120.260.5 A.668-845
3hnyM00 2.60.120.260.6 M.4-159
1oh4A00 2.60.120.260.7 A.6-179
4d0qA00 2.60.120.260.8 A.1-161
2xomA00 2.60.120.260.9 A.7-151
1uwwB00 2.60.120.260.10 B.6-190
1nkgA03 2.60.120.260.11 A.337-508
3wqbA02 2.60.120.260.12 A.432-597
6nk1B00 2.60.120.260.13 B.7-180
2w91A02 2.60.120.260.14 A.356-537
4cuaA00 2.60.120.260.15 A.4-181
5a57A04 2.60.120.260.16 A.736-898
4txwA00 2.60.120.260.17 A.7-165
2zexA00 2.60.120.260.18 A.1-147
4qpwA00 2.60.120.260.19 A.1-142
5y4mA00 2.60.120.260.20 A.5-154
1k3iA01 2.60.120.260.21 A.17-170
2wuhA00 2.60.120.260.22 A.14-177
3f2zA00 2.60.120.260.23 A.3-151
1od3A00 2.60.120.260.24 A.36-167
4lksA00 2.60.120.260.25 A.11-167
1w0nA00 2.60.120.260.26 A.12-131
1jhjA00 2.60.120.260.27 A.1-161
1j83A00 2.60.120.260.28 A.1-180
4pqqA00 2.60.120.260.29 A.1-156
4cu9A00 2.60.120.260.30 A.14-186
4xurA00 2.60.120.260.31 A.14-174
3w5nA03 2.60.120.260.32 A.132-298
2vtfA02 2.60.120.260.33 A.355-531
4lhsA01 2.60.120.260.34 A.6-154
4madA02 2.60.120.260.35 A.285-360,495-595
2wn3A01 2.60.120.260.36 A.1-155
2vzpB00 2.60.120.260.37 B.1-127
2jdaB00 2.60.120.260.38 B.4-145
4lplA00 2.60.120.260.39 A.41-182
2okxA02 2.60.120.260.40 A.136-164,200-215,406-530
4e8dA02 2.60.120.260.41 A.275-350,489-591
2rj2A00 2.60.120.260.42 A.1-185
2y8kA02 2.60.120.260.43 A.339-484
4zy9A00 2.60.120.260.44 A.5-137
2okxA01 2.60.120.260.45 A.3-135,165-199
1gnyA00 2.60.120.260.46 A.1-153
3seeA00 2.60.120.260.47 A.9-222
4xuoA00 2.60.120.260.48 A.4-159
2j1vA00 2.60.120.260.49 A.10-151
5a57A05 2.60.120.260.50 A.899-1104
2qqiA02 2.60.120.260.51 A.160-318
2vzsA01 2.60.120.260.52 A.42-225
3iiiA03 2.60.120.260.53 A.354-517,544-560
2je8A01 2.60.120.260.54 A.5-196
2w1sA00 2.60.120.260.55 A.24-162
4mgqA01 2.60.120.260.56 A.11-159
1w99A02 2.60.120.260.57 A.188-205,386-558
3c7fA01 2.60.120.260.58 A.1-5,351-487
5dmyA01 2.60.120.260.59 A.28-188
1k12A00 2.60.120.260.60 A.1-158
1jz7A01 2.60.120.260.61 A.13-218
4qb6A00 2.60.120.260.62 A.36-164
1wkyA02 2.60.120.260.63 A.314-464
1uxzA00 2.60.120.260.64 A.1-131
3hn3D01 2.60.120.260.65 D.3-204
2wz8A00 2.60.120.260.66 A.7-148
1w8oA03 2.60.120.260.67 A.457-601
1guiA00 2.60.120.260.68 A.1-155
2w87A00 2.60.120.260.69 A.1-139
2cdpA00 2.60.120.260.70 A.23-160
2okxA03 2.60.120.260.71 A.216-405
2yfuA00 2.60.120.260.72 A.3-142
3p6bA00 2.60.120.260.73 A.20-205
3abzA03 2.60.120.260.74 A.392-556
2w5fB01 2.60.120.260.75 B.21-179
3hhyA02 2.60.130.10.3 A.96-280
4mbyH00 2.60.175.10.1 H.2-275
3elsA00 2.60.200.20.20 A.5-158
3gqsB00 2.60.200.20.21 B.3-103
1gxcA00 2.60.200.20.22 A.29-144
3hx1B00 2.60.200.20.23 B.11-116
6c4uD00 2.60.200.20.24 D.2-127
1wv3A01 2.60.200.20.25 A.2-77
3ivvA01 2.60.210.10.3 A.8-144
1n7oA03 2.60.220.10.7 A.636-720
1hn0A04 2.60.220.10.8 A.900-1021
1nltA01 2.60.260.20.7 A.8-40,107-153
1c3gA02 2.60.260.20.8 A.79-159
6myiB00 2.60.270.50.1 B.5-139
2qgoA00 2.60.300.12.2 A.4-126
1m1hA02 2.60.320.10.3 A.50-131
4ktpB02 2.60.420.10.3 B.286-290,685-761
2r19A00 2.60.450.10.1 A.2-138
1h2cA00 2.70.20.20.2 A.15-139
1pkhB00 2.70.40.10.13 B.1-175
3tq5A01 2.70.40.10.14 A.25-129
2r5oA01 2.70.50.60.1 A.29-179
5hnoA00 2.70.50.60.2 A.21-187
5b0hA00 2.70.70.10.9 A.3-135
1k1yB02 2.70.98.10.31 B.386-659
2q1fA03 2.70.98.10.32 A.594-870
1txkA01 2.70.98.10.33 A.2-376
3wa2X03 2.70.98.20.1 X.196-619
3sxxA03 2.70.98.20.2 A.232-670
6grrA04 2.70.98.20.3 A.308-717
3aihB01 2.70.130.10.7 B.4-119
1su4A01 2.70.150.10.2 A.1-43,124-242
2fytA02 2.70.160.11.8 A.171-340
5tinA01 2.70.170.10.6 A.8-219
7ahlF01 2.70.240.10.3 F.1-292
3h6rA00 2.80.10.50.47 A.1-152
2qn4A00 2.80.10.50.48 A.23-194
4izeA00 2.80.10.50.49 A.1-152
1wd3A02 2.80.10.50.50 A.321-482
2dryA00 2.80.10.50.51 A.1-130
3h6qA00 2.80.10.50.52 A.2-169
4usoA00 2.80.10.50.53 A.18-153
1sr4C00 2.80.10.50.54 C.5-158
4owkE00 2.80.10.50.55 E.3-138
5uc6A00 2.80.10.50.56 A.9-159
4gc1A01 2.90.10.10.6 A.2-105
1ouwA00 2.100.10.30.5 A.2-151
3apaA00 2.100.10.30.6 A.4-141
4qdcA01 2.102.10.10.11 A.27-161
4nbgE00 2.102.10.10.12 E.3-114
1hxnA00 2.110.10.10.2 A.10-219
4udgB00 2.115.10.20.16 B.27-347
5glkA00 2.115.10.20.17 A.15-344
3wasA00 2.115.10.20.18 A.2-390
3k1uA00 2.115.10.20.19 A.9-322
2hqsA02 2.120.10.30.13 A.144-413
6f0qA00 2.120.10.30.14 A.5-255
4a0pA02 2.120.10.30.15 A.294-621
1ijqA01 2.120.10.30.16 A.1-262
2p4oA01 2.120.10.30.17 A.15-306
4a0pA01 2.120.10.30.18 A.5-293
4immA00 2.130.10.10.66 A.45-392
4gqbB00 2.130.10.10.67 B.23-331
4nsxA02 2.130.10.10.68 A.33-349
4gq1A00 2.130.10.10.69 A.1-392
5i5mA01 2.130.10.10.70 A.55-508
4o9dA00 2.130.10.10.71 A.11-423
1pguB02 2.130.10.10.72 B.13-337
6m90A02 2.130.10.10.73 A.113-407
4d6vA01 2.130.10.10.74 A.8-314
3ei3A03 2.130.10.10.75 A.412-727
3ei3B02 2.130.10.10.76 B.66-381
3ottB02 2.130.10.10.77 B.309-625
3ei3A01 2.130.10.10.78 A.19-31,374-411,728-1061
1jofA00 2.130.10.10.79 A.1-365
4a5sA02 2.140.10.30.1 A.17-459
3ultA00 2.150.10.10.5 A.5-118
2wlgB00 2.160.10.10.22 B.6-214
3tv0A00 2.160.10.10.23 A.12-163
3fs8A01 2.160.10.10.24 A.3-223
3bfpA02 2.160.10.10.25 A.76-194
1oflA00 2.160.20.10.36 A.2-481
3b4nA02 2.160.20.10.37 A.119-344
3vsvA01 2.160.20.10.38 A.1-74,203-638
2x3hA00 2.160.20.10.39 A.44-541
2uvfB02 2.160.20.10.40 B.152-607
3gq8A01 2.160.20.10.41 A.6-469
4mxnB00 2.160.20.10.42 B.20-247
2vfmA00 2.160.20.20.1 A.5-559
3zjxA02 2.170.15.10.3 A.52-188,224-289
1dq3A01 2.170.16.10.7 A.1-137,415-454
5o9jA00 2.170.16.10.8 A.3-184
5hqhA00 2.170.120.30.1 A.8-103
3v8xA01 2.170.130.10.6 A.43-174
3cslA01 2.170.130.10.7 A.113-240
3hcjA01 2.170.150.20.5 A.10-154
5fqdB01 2.170.150.20.6 B.31-44,303-420
4g79A00 2.170.210.20.2 A.4-141
3mj0A00 2.170.260.10.4 A.1-118
2rfiB00 2.170.270.10.13 B.28-285
4ldgA00 2.170.270.10.14 A.14-267
2qpwA01 2.170.270.10.15 A.15-140
4g1qB01 3.10.10.10.1 B.9-98,124-164
5v6rA02 3.10.20.90.98 A.215-360
4eoyB00 3.10.20.90.99 B.5-127
1s3sH00 3.10.20.90.100 H.14-127
2ylmA02 3.10.20.90.101 A.123-238
3hhmA01 3.10.20.90.102 A.2-132
4n9fe00 3.10.20.90.103 e.1-79
4bfrB02 3.10.20.90.104 B.47-186
4ekuA01 3.10.20.90.105 A.2-118
4m8mA02 3.10.20.90.106 A.259-410
3ec8A00 3.10.20.90.107 A.14-162
4wwoA01 3.10.20.90.108 A.4-178
3hhmA03 3.10.20.90.109 A.179-319
4v0iA01 3.10.20.90.110 A.6-187
5dxtA01 3.10.20.90.111 A.1-220
2dajA00 3.10.20.90.112 A.1-91
1t0yA00 3.10.20.90.113 A.3-92
2kxjA00 3.10.20.90.114 A.1-90
2mp2B00 3.10.20.90.115 B.1-90
1wgdA00 3.10.20.90.116 A.1-93
1i42A00 3.10.20.90.117 A.1-89
2juoA00 3.10.20.90.118 A.1-89
2lgxA00 3.10.20.90.119 A.8-101
2dzjA00 3.10.20.90.120 A.1-88
1uelA00 3.10.20.90.121 A.1-95
1v86A00 3.10.20.90.122 A.1-95
2cs4A00 3.10.20.90.123 A.1-95
2l76A00 3.10.20.90.124 A.1-95
1wx8A00 3.10.20.90.125 A.1-96
2gowA01 3.10.20.90.126 A.10-105
1zkhA00 3.10.20.90.127 A.1-86
2c7hA00 3.10.20.90.128 A.1-86
2kfjA00 3.10.20.90.129 A.2-87
2kzrA00 3.10.20.90.130 A.1-86
2n7eA00 3.10.20.90.131 A.1-86
2uwqA00 3.10.20.90.132 A.1-86
2blnA02 3.10.25.10.1 A.203-304
1dfaA03 3.10.28.10.13 A.304-398
2vs7D02 3.10.28.10.14 D.102-195
2dchX01 3.10.28.10.15 X.10-105
4layA02 3.10.50.40.10 A.160-275
3gpkA00 3.10.50.40.11 A.5-112
5gpgA00 3.10.50.40.12 A.1-117
4mspA01 3.10.50.40.13 A.10-125
4jysB00 3.10.50.40.14 B.5-118
5xb0A02 3.10.50.40.15 A.32-133
4pp8A00 3.10.100.10.27 A.1-125
3l9jC00 3.10.100.10.28 C.1-134
1kza100 3.10.100.10.29 1.1-115
1h8uB00 3.10.100.10.30 B.2-117
1byfA00 3.10.100.10.31 A.2-124
4qflA03 3.10.105.10.11 A.288-506
5kztA03 3.10.105.10.12 A.271-498
4ze8A03 3.10.105.10.13 A.255-464
3fn1B00 3.10.110.10.19 B.8-167
4ds2B00 3.10.110.10.20 B.5-164
2fo3A00 3.10.110.10.21 A.9-117
1cxyA00 3.10.120.10.5 A.6-86
3lmbA01 3.10.129.10.62 A.7-163
2prxA00 3.10.129.10.63 A.7-151
4k02A00 3.10.129.10.64 A.13-139
3exzA00 3.10.129.10.65 A.2-147
1ixlA00 3.10.129.10.66 A.2-130
2oiwA00 3.10.129.10.67 A.2-134
1z54A00 3.10.129.10.68 A.1-132
4mobA02 3.10.129.10.69 A.179-322
3ir3A00 3.10.129.10.70 A.14-147
3e8pA00 3.10.129.10.71 A.12-164
4mobA01 3.10.129.10.72 A.4-148
3f1tB00 3.10.129.10.73 B.3-137
3khpD01 3.10.129.10.74 D.24-177
3ljdA00 3.10.130.10.5 A.1-126
5agvA02 3.10.150.10.13 A.138-268
5ah2B03 3.10.150.10.14 B.267-400
5jviE01 3.10.170.10.1 E.6-154
5c68A00 3.10.180.10.48 A.4-121
2zyqA01 3.10.180.10.49 A.2-133
5kefA00 3.10.180.10.50 A.5-148
3p8aA01 3.10.180.10.51 A.22-183
3r6aB00 3.10.180.10.52 B.4-128
3isqA01 3.10.180.10.53 A.2-167
1xy7B00 3.10.180.10.54 B.22-154
3hdpA00 3.10.180.10.55 A.2-133
3ct8A00 3.10.180.10.56 A.14-146
3vb0A01 3.10.180.10.57 A.2-130
4coqB00 3.10.200.10.8 B.22-247
6h8mA00 3.10.250.10.2 A.3-109
4ux5A00 3.10.260.10.2 A.14-126
2k6pA00 3.10.290.10.14 A.1-84
1p9kA00 3.10.290.10.15 A.1-79
2otnB01 3.10.310.10.25 B.13-145,295-307
3g7kB02 3.10.310.10.26 B.175-355
3g7kA01 3.10.310.10.27 A.2-168,359-380
1k20A02 3.10.310.20.1 A.191-310
4x5wA01 3.10.320.10.1 A.1-82
1zc1A02 3.10.330.10.8 A.121-197
3mb5A01 3.10.330.20.1 A.1-62
5c8qB02 3.10.350.10.5 B.58-103
1fd3A00 3.10.360.10.1 A.1-41
2gksB01 3.10.400.10.5 B.3-143
1q42A00 3.10.450.50.74 A.23-196
3bb9B00 3.10.450.50.75 B.24-148
3ecfA00 3.10.450.50.76 A.3-130
3b7cA00 3.10.450.50.77 A.3-122
3g8zA00 3.10.450.50.78 A.21-148
3fkaB00 3.10.450.50.79 B.1-120
6of8A00 3.10.450.50.80 A.2-132
3kztA00 3.10.450.50.81 A.11-142
5evhA00 3.10.450.50.82 A.5-125
3gwrB00 3.10.450.50.83 B.3-129
2qguA01 3.10.450.50.84 A.29-73,117-172
3ehcB00 3.10.450.50.85 B.1-128
2gbwB00 3.10.450.50.86 B.5-174
3cu3A00 3.10.450.50.87 A.10-171
2bngC00 3.10.450.50.88 C.10-149
3ff2A00 3.10.450.50.89 A.1-117
2bmoB00 3.10.450.50.90 B.1-194
3hk4A00 3.10.450.50.91 A.2-136
3en8A01 3.10.450.50.92 A.1-112
2i9wA00 3.10.450.50.93 A.3-184
3d9rB00 3.10.450.50.94 B.3-135
1q40D00 3.10.450.50.95 D.12-216
2b1xB00 3.10.450.50.96 B.6-172
3gzxB00 3.10.450.50.97 B.1-186
4r1kB00 3.10.450.50.98 B.1-136
2qikA01 3.10.490.10.5 A.2-119
2ouxA02 3.10.580.10.27 A.135-263
3ocoA00 3.10.580.10.28 A.8-143
2yziB00 3.10.580.10.29 B.4-138
1pvmA00 3.10.580.10.30 A.7-184
2ef7A00 3.10.580.10.31 A.2-126
2hd9A00 3.10.590.10.1 A.1-145
2zk9X00 3.10.620.30.1 X.1-185
3e8tA00 3.15.10.30.1 A.5-220
3dtgA02 3.20.10.10.9 A.182-354
4k6nA02 3.20.10.10.10 A.231-383
3h5jA00 3.20.19.10.1 A.4-171
2y24A02 3.20.20.80.124 A.15-290
4hu8A02 3.20.20.80.125 A.54-63,89-452
4uzsB01 3.20.20.80.126 B.4-406
4ac1X01 3.20.20.80.127 X.1-264
2wnwA02 3.20.20.80.128 A.43-381
2xfrA00 3.20.20.80.129 A.3-489
3zo9A01 3.20.20.80.130 A.29-132,203-492
6bs6A02 3.20.20.80.131 A.31-131,333-587
3w4rA01 3.20.20.80.132 A.24-270,349-406
1j0hA02 3.20.20.80.133 A.126-245,300-505
4cvuA03 3.20.20.80.134 A.348-737
2zuvA01 3.20.20.80.135 A.3-71,178-434
6i6rA02 3.20.20.80.136 A.18-371
3hn3A03 3.20.20.80.137 A.309-611
1uhvA02 3.20.20.80.138 A.15-358
3edfA02 3.20.20.80.139 A.99-517
2zxdA01 3.20.20.80.140 A.7-356
5okaA00 3.20.20.80.141 A.11-485
3pohA02 3.20.20.80.142 A.160-451
2wanA04 3.20.20.80.143 A.412-833
4h41B00 3.20.20.80.144 B.13-340
2uy2A00 3.20.20.80.145 A.4-291
1nowA02 3.20.20.80.146 A.149-503
3ozoA02 3.20.20.80.147 A.185-572
4n0rA02 3.20.20.80.148 A.94-403
5uj6A03 3.20.20.80.149 A.298-610
3qr3A00 3.20.20.80.150 A.1-329
5z1aA03 3.20.20.80.151 A.287-594
1ua7A01 3.20.20.80.152 A.1-344
4b15A00 3.20.20.80.153 A.1-266
4rl3A00 3.20.20.80.154 A.2-272
1vemA01 3.20.20.80.155 A.1-416
2dh2A01 3.20.20.80.156 A.4-333
4s3jB02 3.20.20.80.157 B.102-324,385-433
1sfsA00 3.20.20.80.158 A.28-240
3f5lA00 3.20.20.80.159 A.10-481
1narA00 3.20.20.80.160 A.1-289
5ay7B00 3.20.20.80.161 B.16-347
1iv8A01 3.20.20.80.162 A.1-87,207-285,419-459,557-654
3wy1A01 3.20.20.80.163 A.4-106,178-465
5fkyA02 3.20.20.80.164 A.125-410
1ur4A00 3.20.20.80.165 A.11-397
1ta3A00 3.20.20.80.166 A.1-274
4r27B00 3.20.20.80.167 B.5-411
1eokA00 3.20.20.80.168 A.8-289
3qomA00 3.20.20.80.169 A.3-481
3clwA02 3.20.20.80.170 A.17-407
4aefA03 3.20.20.80.171 A.199-583
4jz5A00 3.20.20.80.172 A.18-223
3thdA01 3.20.20.80.173 A.6-282
1e40A01 3.20.20.80.174 A.1-396
3ttyA01 3.20.20.80.175 A.1-393
4ha4A00 3.20.20.80.176 A.1-489
4aeeA03 3.20.20.80.177 A.215-335,415-617
3zr5A02 3.20.20.80.178 A.27-312,443-460
3ii1A02 3.20.20.80.179 A.33-434
3amlA01 3.20.20.80.180 A.7-52,168-585
4pmoA00 3.20.20.80.181 A.24-234
4kruA00 3.20.20.80.182 A.5-218
2wagA00 3.20.20.80.183 A.2-218
2g3mA02 3.20.20.80.184 A.154-529
3gm8A03 3.20.20.80.185 A.271-610
5t9gB03 3.20.20.80.186 B.296-621
2xsaA01 3.20.20.80.187 A.1-277
3rcnA02 3.20.20.80.188 A.137-485
1edtA00 3.20.20.80.189 A.6-270
5jbdA02 3.20.20.80.190 A.193-340,746-851
1lwjA01 3.20.20.80.191 A.1-93,159-391
3fndA01 3.20.20.80.192 A.2-211,256-312
5ot1A02 3.20.20.80.193 A.282-421,476-692
4ccdA01 3.20.20.80.194 A.11-66,243-454
4tvcA03 3.20.20.80.195 A.383-507,931-1053
1jfxA00 3.20.20.80.196 A.1-217
1c7sA03 3.20.20.80.197 A.309-792
5m7uB01 3.20.20.80.198 B.59-373
5f7cA02 3.20.20.80.199 A.289-662
2wskA02 3.20.20.80.200 A.134-572
2ya0A02 3.20.20.80.201 A.129-610
3hmcA00 3.20.20.80.202 A.2-190
5jipA01 3.20.20.80.203 A.4-230
5jiwA00 3.20.20.80.204 A.1-500
2ww5A02 3.20.20.80.205 A.267-468
4qfuE01 3.20.20.80.206 E.11-254
5fooF00 3.20.20.80.207 F.1-462
4ff5A00 3.20.20.80.208 A.38-266
1bf2A02 3.20.20.80.209 A.163-636
1vffA00 3.20.20.80.210 A.1-423
3cz8A01 3.20.20.80.211 A.4-225,283-311
2j8gA01 3.20.20.80.212 A.2-188
6cgmA02 3.20.70.20.9 A.148-285,339-688
3gk6A00 3.20.80.10.5 A.15-170
3bgyA00 3.20.100.10.1 A.12-237
3p0bA01 3.20.110.10.2 A.19-433
1vlpD00 3.20.140.10.2 D.7-427
2auaA01 3.20.170.10.1 A.13-54,124-173,196-219
3gasA01 3.20.180.10.3 A.2-80
3vk8A01 3.20.190.10.5 A.2-137
2rghA02 3.30.9.10.19 A.115-181,268-363
4x9mA02 3.30.9.10.20 A.123-181,260-359
3djdB02 3.30.9.10.21 B.93-154,232-340,404-438
3pvcA03 3.30.9.10.22 A.351-405,480-574
3py9A01 3.30.10.20.4 A.8-73
2b68A01 3.30.30.10.25 A.7-43
3i33A02 3.30.30.30.1 A.87-141
4gniA02 3.30.30.30.2 A.77-133
6gfaA02 3.30.30.30.3 A.65-120
1dkgD02 3.30.30.30.4 D.67-118
3knvA00 3.30.40.10.80 A.15-137
4b7yD00 3.30.40.10.81 D.1-116
3mhsA01 3.30.40.10.82 A.5-131
4fo9A02 3.30.40.10.83 A.171-298
5aiuA00 3.30.40.10.84 A.5-133
1zbdB00 3.30.40.10.85 B.8-130
3ihpA01 3.30.40.10.86 A.20-95,136-175
3i2dA02 3.30.40.10.87 A.205-334
2zetC00 3.30.40.10.88 C.11-151
1weeA00 3.30.40.10.89 A.1-72
1x4uA01 3.30.40.10.90 A.16-84
1chcA00 3.30.40.10.91 A.1-68
2rsdA00 3.30.40.10.92 A.1-68
2yurA00 3.30.40.10.93 A.1-74
2kyuA00 3.30.40.10.94 A.1-67
1xwhA00 3.30.40.10.95 A.1-66
2gqtA01 3.30.43.10.11 A.2-70
1hskA02 3.30.43.10.12 A.15-102
5fxdA01 3.30.43.10.13 A.2-111
5cc1B00 3.30.50.10.7 B.26-98
4hc9A02 3.30.50.10.8 A.53-104
3ktwB00 3.30.56.30.4 B.9-101
1kvnA00 3.30.56.30.5 A.1-104
3hh2C02 3.30.60.30.18 C.97-169
1nubA01 3.30.60.30.19 A.4-85
2n17A00 3.30.60.30.20 A.18-73
1hdlA00 3.30.60.30.21 A.1-55
1iw4A00 3.30.60.30.22 A.1-55
1uvgA01 3.30.60.30.23 A.3-60
2jxdA00 3.30.60.30.24 A.1-62
1h0zA00 3.30.60.30.25 A.1-68
1kgdA02 3.30.63.10.1 A.35-97
5jhmA02 3.30.67.10.1 A.53-64,123-131,197-237,259-273
2m2bA00 3.30.70.330.190 A.1-131
1u6fA00 3.30.70.330.191 A.1-139
2ku7A00 3.30.70.330.192 A.1-140
1vwxX00 3.30.70.330.193 X.38-156
1kwmA01 3.30.70.340.1 A.1-88
4uf4A01 3.30.70.340.2 A.17-105
4p10A01 3.30.70.340.3 A.3-92
1ayeA01 3.30.70.340.4 A.1-99
1jqgA01 3.30.70.340.5 A.18-108
1vjqA00 3.30.70.340.6 A.1-73
5uejA02 3.30.70.360.1 A.183-296
4pxeA02 3.30.70.360.2 A.230-346
3pfeA02 3.30.70.360.3 A.207-265,307-377
3ifeA02 3.30.70.360.4 A.235-345
5tp4A02 3.30.70.360.5 A.220-334
2rb7A02 3.30.70.360.6 A.175-281
3pfoA02 3.30.70.360.7 A.214-341
2f7vA02 3.30.70.360.8 A.170-283
1lfwA02 3.30.70.360.9 A.187-204,293-380
4ewtA02 3.30.70.360.10 A.183-297
4pxdA02 3.30.70.360.11 A.214-328
3gb0A02 3.30.70.360.12 A.178-289
4q7aC02 3.30.70.360.13 C.166-273
5k8pA02 3.30.70.360.14 A.206-336
1xmbA02 3.30.70.360.15 A.195-312
1lfwA03 3.30.70.360.16 A.205-292
3ct9A02 3.30.70.360.17 A.173-279
3io1A02 3.30.70.360.18 A.226-341
5xoyB02 3.30.70.360.19 B.172-278
1cg2A02 3.30.70.360.20 A.192-301
3ramA02 3.30.70.360.21 A.167-284
2zogA02 3.30.70.360.22 A.215-388
3tx8A02 3.30.70.360.23 A.177-290
2pokA02 3.30.70.360.24 A.225-394
4mmoA02 3.30.70.360.25 A.180-346
3px4A03 3.30.70.370.1 A.319-372,517-592
1mswD03 3.30.70.370.2 D.421-449,528-553,785-872
1x9mA03 3.30.70.370.3 A.409-471,584-698
5mgwA02 3.30.70.380.1 A.309-405
2rhsD06 3.30.70.380.2 D.712-799
4p72A06 3.30.70.380.3 A.699-791
1b7yB06 3.30.70.380.4 B.690-775
6nppB00 3.30.70.390.1 B.1-134
4k2jB00 3.30.70.390.2 B.4-138
2yq1C00 3.30.70.390.3 C.9-139
1eayD00 3.30.70.400.1 D.4-72
4i6yA02 3.30.70.420.1 A.111-220
2r4fA03 3.30.70.420.2 A.153-269
4gvbA00 3.30.70.440.1 A.1-77
4gvbB00 3.30.70.440.2 B.4-81
5a0yA02 3.30.70.470.1 A.102-276
5a0yB02 3.30.70.470.2 B.45-191
1ftrA02 3.30.70.520.1 A.17-165
1ftrA01 3.30.70.520.2 A.1-16,166-296
3ip0A00 3.30.70.560.1 A.1-158
5etrA00 3.30.70.560.2 A.4-160
4pzvA01 3.30.70.560.3 A.1-164
2bmbA01 3.30.70.560.4 A.17-223
1dj0A02 3.30.70.580.1 A.1-107
1vioA02 3.30.70.580.2 A.60-129,212-233
4j37A01 3.30.70.580.3 A.9-124
2omlA01 3.30.70.580.4 A.8-71,178-187
2gmlA01 3.30.70.580.5 A.13-80,155-186
1r89A03 3.30.70.590.1 A.260-339,384-437
2hhpA03 3.30.70.590.2 A.353-522
1q79A01 3.30.70.590.3 A.366-488
3d3bJ00 3.30.70.600.1 J.1-87
4pwwA00 3.30.70.600.2 A.1-85
2vqeJ00 3.30.70.600.3 J.3-101
6az1M00 3.30.70.600.4 M.14-115
5xyiU00 3.30.70.600.5 U.21-121
4kyzA00 3.30.70.600.6 A.3-169
2mq8A00 3.30.70.600.7 A.1-112
1f0xA01 3.30.70.610.1 A.269-310,377-434
2iihA00 3.30.70.640.1 A.10-155
4pydF00 3.30.70.640.2 F.24-145
1regX00 3.30.70.650.1 X.1-122
1dj0A01 3.30.70.660.1 A.108-245
