1oaiA00 1.10.8.10.1 A.1-59
1jz7A04 2.60.40.10.60 A.625-730
4p48A02 2.60.40.10.61 A.132-242
4udtA01 2.60.40.10.62 A.2-112
4y88A00 2.60.40.10.63 A.1-108
6c74A00 2.60.40.10.64 A.1-111
1my7A00 2.60.40.10.65 A.1-107
4n5uA00 2.60.40.10.66 A.7-114
6frjH02 2.60.40.10.67 H.137-236
4uzgA02 2.60.40.10.68 A.167-287
4b41A00 2.60.40.10.69 A.2-118
2yd6A01 2.60.40.10.70 A.4-101
4udtB01 2.60.40.10.71 B.3-114
6eh4E01 2.60.40.10.72 E.1-115
1ogaE01 2.60.40.10.73 E.5-115
4aqoA00 2.60.40.10.74 A.7-92
2yd6A02 2.60.40.10.75 A.102-204
2i24N00 2.60.40.10.76 N.2-114
1edqA01 2.60.40.10.77 A.1-107
3knbA00 2.60.40.10.78 A.2-99
4wiqA01 2.60.40.10.79 A.9-114
4q9bA00 2.60.40.10.80 A.2-102
1smoB00 2.60.40.10.81 B.6-115
2x5pA00 2.60.40.10.82 A.1-121
3h6jA02 2.60.40.10.83 A.335-438
5c86A02 2.60.40.10.84 A.383-483
6at6A01 2.60.40.10.85 A.3-114
4ay0A01 2.60.40.10.86 A.14-128
6cr1L02 2.60.40.10.87 L.109-209
5tzmA00 2.60.40.10.88 A.1-90
2ajuH02 2.60.40.10.89 H.120-219
3bmvA04 2.60.40.10.90 A.580-682
4nofB00 2.60.40.10.91 B.9-114
3knbB00 2.60.40.10.92 B.10-105
3m07A01 2.60.40.10.93 A.30-125
4i3gA04 2.60.40.10.94 A.716-829
5kvfL01 2.60.40.10.95 L.1-114
2qhlD00 2.60.40.10.96 D.3-111
3o3uN03 2.60.40.10.97 N.471-581
2pttA00 2.60.40.10.98 A.8-110
3n1fD00 2.60.40.10.99 D.1-102
4cbpB02 2.60.40.10.100 B.164-267
4cbpA01 2.60.40.10.101 A.44-163
2wanA02 2.60.40.10.102 A.164-266
1v05A00 2.60.40.10.103 A.1-96
3o3uN02 2.60.40.10.104 N.373-470
2pttB00 2.60.40.10.105 B.4-111
2hazA00 2.60.40.10.106 A.2-105
3hn3A02 2.60.40.10.107 A.205-308
4nobA00 2.60.40.10.108 A.5-119
2c3vB00 2.60.40.10.109 B.4-101
1ncwH01 2.60.40.10.110 H.1-119
2xknB01 2.60.40.10.111 B.1-116
4hbqA02 2.60.40.10.112 A.91-206
5o45A00 2.60.40.10.113 A.1-129
4wtxA00 2.60.40.10.114 A.3-99
5n40A01 2.60.40.10.115 A.1-103
2v9tA00 2.60.40.10.116 A.2-108
3q0hB00 2.60.40.10.117 B.5-111
3zkqD00 2.60.40.10.118 D.2-114
3rnkB00 2.60.40.10.119 B.1-104
4umgA00 2.60.40.10.120 A.3-132
3wuzA00 2.60.40.10.121 A.1-120
4jy5L01 2.60.40.10.122 L.1-104
5f1sA01 2.60.40.10.123 A.1-112
3bfoA00 2.60.40.10.124 A.2-86
1jz7A02 2.60.40.10.125 A.219-333
3vmnA01 2.60.40.10.126 A.5-115
1w8oA02 2.60.40.10.127 A.355-456
2je8A04 2.60.40.10.128 A.654-755
3p73A02 2.60.40.10.129 A.181-270
4of6A00 2.60.40.10.130 A.6-113
1cs6A01 2.60.40.10.131 A.99-203
6funA01 2.60.40.10.132 A.1-112
1l6xA01 2.60.40.10.133 A.2-101
5e95B00 2.60.40.10.134 B.4-97
3bp6A00 2.60.40.10.135 A.1-112
4ei6A01 2.60.40.10.136 A.3-114
3v0wL01 2.60.40.10.137 L.1-108
3so5B00 2.60.40.10.138 B.2-112
1eajB00 2.60.40.10.139 B.6-125
3iduB00 2.60.40.10.140 B.12-121
4l9dA00 2.60.40.10.141 A.6-87
2rb8A00 2.60.40.10.142 A.1-93
1xauA00 2.60.40.10.143 A.12-115
4ofkB00 2.60.40.10.144 B.5-108
5ud8B00 2.60.40.10.145 B.1-112
5eh1A01 2.60.40.10.146 A.8-115
5w38A02 2.60.40.10.147 A.114-219
5mj3A02 2.60.40.10.148 A.103-210
3lpwA01 2.60.40.10.149 A.1-99
5f1sA02 2.60.40.10.150 A.113-214
2fgzA02 2.60.40.10.151 A.288-395
3pddA02 2.60.40.10.152 A.90-190
4isvA01 2.60.40.10.153 A.1-116
5e56A00 2.60.40.10.154 A.1-116
3p2tA02 2.60.40.10.155 A.96-195
4h5sB00 2.60.40.10.156 B.2-101
2zuxA01 2.60.40.10.157 A.2-89
2je8A02 2.60.40.10.158 A.197-306
6cphD01 2.60.40.10.159 D.2-111
4rwhA00 2.60.40.10.160 A.1-105
1m1sA00 2.60.40.10.161 A.8-116
1my5A00 2.60.40.10.162 A.1-107
2r2cB00 2.60.40.10.163 B.53-180
4xcfH01 2.60.40.10.164 H.1-123
1ogaD02 2.60.40.10.165 D.111-200
2bnuA02 2.60.40.10.166 A.114-203
4hbqA01 2.60.40.10.167 A.1-90
4ekxA00 2.60.40.10.168 A.4-112
4m9pA03 2.60.40.10.169 A.192-291
2zuvA02 2.60.40.10.170 A.72-177
2rikA01 2.60.40.10.171 A.2-97
3mpcA00 2.60.40.10.172 A.3-98
2g5rA00 2.60.40.10.173 A.7-127
3irzA03 2.60.40.10.174 A.302-419
5febA00 2.60.40.10.175 A.1-122
5f7uA01 2.60.40.10.176 A.5-115
5a2fA01 2.60.40.10.177 A.28-133
6nrqC00 2.60.40.10.178 C.1-108
1wwcA00 2.60.40.10.179 A.4-108
2ipuH02 2.60.40.10.180 H.124-223
4gosA00 2.60.40.10.181 A.6-120
2w59A01 2.60.40.10.182 A.12-111
4mz2A00 2.60.40.10.183 A.11-125
5e6zC01 2.60.40.10.184 C.2-107
2x9xA03 2.60.40.10.185 A.263-297,358-440
2rikA02 2.60.40.10.186 A.98-192
5xxlB03 2.60.40.10.187 B.638-752
2yxmA00 2.60.40.10.188 A.3-94
1r6vA04 2.60.40.10.189 A.444-555
1dlfH00 2.60.40.10.190 H.1-120
4wfoA01 2.60.60.20.1 A.28-186
2wxuA02 2.60.60.20.2 A.251-370
6fjnA00 2.60.90.10.1 A.1-184
2j2jA00 2.60.90.10.2 A.16-197
5x9lA00 2.60.110.10.1 A.1-207
5k8sB00 2.60.120.10.1 B.1-148
4axoB00 2.60.120.10.2 B.15-151
2y0oA00 2.60.120.10.3 A.2-172
3ht1A00 2.60.120.10.4 A.2-143
5kjzA00 2.60.120.10.5 A.2-150
4muvA00 2.60.120.10.6 A.1-142
5jixA00 2.60.120.10.7 A.3-152
6cpbA00 2.60.120.10.8 A.4-138
6h1hA02 2.60.120.10.9 A.17-142,250-286
4r52A01 2.60.120.10.10 A.9-174
6cb4A02 2.60.120.10.11 A.245-424
5wxuA02 2.60.120.10.12 A.300-461
6cb4A01 2.60.120.10.13 A.46-244
5vg3A02 2.60.120.10.14 A.56-229
3c3vA02 2.60.120.10.15 A.341-501
5i0uA00 2.60.120.10.16 A.5-190
1juhA02 2.60.120.10.17 A.206-350
5vf5A02 2.60.120.10.18 A.198-398
1juhA01 2.60.120.10.19 A.3-145
1lr5B00 2.60.120.10.20 B.1-159
5l0nA00 2.60.120.10.21 A.4-130
4zu4C00 2.60.120.10.22 C.1-146
3zdsA02 2.60.120.10.23 A.92-100,204-219,280-399
5bpxA00 2.60.120.10.24 A.1-153
2pa7A00 2.60.120.10.25 A.4-138
4avaA01 2.60.120.10.26 A.2-145
3rykA00 2.60.120.10.27 A.24-198
4qmaA02 2.60.120.10.28 A.52-194
3ejkA00 2.60.120.10.29 A.15-171
5wseB00 2.60.120.10.30 B.4-118
4r8hA01 2.60.120.10.31 A.21-150
3d0jA00 2.60.120.10.32 A.3-140
1nxmA00 2.60.120.10.33 A.4-197
5e16A00 2.60.120.10.34 A.2-139
4lukA00 2.60.120.10.35 A.1-189
3dn7B00 2.60.120.10.36 B.1-147
5buvB00 2.60.120.10.37 B.5-177
3gydA00 2.60.120.10.38 A.10-187
4cydB01 2.60.120.10.39 B.1-145
2wfpA02 2.60.120.10.40 A.8-152,241-278
3myxB01 2.60.120.10.41 B.4-20,134-238
5by5A00 2.60.120.10.42 A.1-115
3kgzA00 2.60.120.10.43 A.2-146
3l2hA01 2.60.120.10.44 A.3-149
3loiA01 2.60.120.10.45 A.10-169
1xruA02 2.60.120.10.46 A.11-32,147-281
3eo6A00 2.60.120.10.47 A.1-106
3idbB01 2.60.120.10.48 B.28-158
4mv2A00 2.60.120.10.49 A.3-122
3e6cC01 2.60.120.10.50 C.9-147
5i8tA00 2.60.120.10.51 A.1-179
5vf5A01 2.60.120.10.52 A.5-197
2qjvA01 2.60.120.10.53 A.3-13,127-265
2o1qA01 2.60.120.10.54 A.19-145
3pnaA01 2.60.120.10.55 A.27-150
3e97A01 2.60.120.10.56 A.1-146
4lloC00 2.60.120.10.57 C.3-170
3myxA02 2.60.120.10.58 A.19-133
3uknA02 2.60.120.10.59 A.47-206
2oa2A01 2.60.120.10.60 A.22-141
2z69B00 2.60.120.10.61 B.4-153
3bpzA02 2.60.120.10.62 A.71-198
2c0zA01 2.60.120.10.63 A.10-199
4la2A00 2.60.120.10.64 A.1-190
1wltA00 2.60.120.10.65 A.21-196
5vg3A01 2.60.120.10.66 A.8-55,230-379
5fljA00 2.60.120.10.67 A.3-184
4ofgA00 2.60.120.10.68 A.3-144
2gauA01 2.60.120.10.69 A.10-151
1xe7A00 2.60.120.10.70 A.9-202
1gqgC02 2.60.120.10.71 C.22-221
2o8qA00 2.60.120.10.72 A.1-129
4qm9A00 2.60.120.10.73 A.13-166
6h1hA01 2.60.120.10.74 A.6-16,143-249
1v70A00 2.60.120.10.75 A.1-105
2f4pA00 2.60.120.10.76 A.14-147
1y3tA01 2.60.120.10.77 A.5-22,193-334
4yarA03 2.60.120.10.78 A.82-205
3i7dA00 2.60.120.10.79 A.3-159
2zcwA01 2.60.120.10.80 A.6-117
4yarA02 2.60.120.10.81 A.70-81,298-408
4r9pA00 2.60.200.10.1 A.29-238
1khxA00 2.60.200.10.2 A.25-225
5jelA00 2.60.200.10.3 A.4-237
3dshA01 2.60.200.10.4 A.1-202
1ygsA00 2.60.200.10.5 A.1-225
1rwhA03 2.60.220.10.1 A.644-757
1cq3A00 2.60.240.10.1 A.10-233
3tj8A01 2.60.260.20.1 A.1-75
1nc7A00 2.60.290.11.1 A.5-137
1js8B02 2.60.310.10.1 B.285-389
3og2A03 2.60.390.10.1 A.559-647
3mzfA02 2.60.410.10.1 A.263-354
3tcqA02 2.60.510.10.1 A.204-308
1zruC01 2.60.520.10.1 C.2-140
3ioxA02 2.60.530.10.1 A.111-447
2obeA04 2.70.9.10.1 A.628-778,845-901
2pw8I00 2.70.10.10.1 I.1-65
1mw9X03 2.70.20.10.1 X.213-279,405-473
2gaiA03 2.70.20.10.2 A.185-240,375-441
1euwA00 2.70.40.10.1 A.1-136
4b0hB00 2.70.40.10.2 B.2-144
6mjkA00 2.70.40.10.3 A.7-150
1kmtA00 2.70.50.30.1 A.2-139
1ds6B00 2.70.50.30.2 B.1-179
5fr1B00 2.70.50.30.3 B.35-211
4qp5A00 2.70.70.10.1 A.5-138
1qwyA02 2.70.70.10.2 A.82-289
1rwhA02 2.70.98.10.1 A.373-643
1jz8A05 2.70.98.10.2 A.731-1023
5a57A01 2.70.98.10.3 A.1-284
3q1nA00 2.70.98.10.4 A.1-294
3nreA00 2.70.98.10.5 A.1-291
2cirA00 2.70.98.10.6 A.2-289
2v3iA00 2.70.100.10.1 A.2-434
1gp0A00 2.70.130.10.1 A.8-140
2rl8A00 2.70.130.10.2 A.4-154
4c08A02 2.70.160.11.1 A.195-380
6dvrB02 2.70.160.11.2 B.144-332
2wn9D00 2.70.170.10.1 D.7-217
1njhA00 2.70.180.10.1 A.2-119
3w9eC00 2.70.230.10.1 C.50-278
3nbcA00 2.80.10.50.1 A.1-148
3wmvB00 2.80.10.50.2 B.5-153
4i4oA00 2.80.10.50.3 A.1-146
1rg8A00 2.80.10.50.4 A.3-143
4izxA00 2.80.10.50.5 A.2-140
5bowA00 2.80.10.50.6 A.1-151
5mu9A01 2.80.10.50.7 A.2-154
3aj6A02 2.80.10.50.8 A.142-286
4oujA01 2.80.10.50.9 A.12-155
2dpfA00 2.90.10.10.1 A.2-112
1w99A03 2.100.10.10.1 A.206-385
1i5pA03 2.100.10.10.2 A.273-470
1ciyA02 2.100.10.10.3 A.238-433
2bmoA02 2.102.10.10.1 A.34-162
2nwfA00 2.102.10.10.2 A.1-141
5c2mA00 2.115.10.10.1 A.13-249
4n1iA00 2.115.10.20.1 A.9-320
3cu9A00 2.115.10.20.2 A.1-314
2bf6A01 2.120.10.10.1 A.1-118,185-449
3silA00 2.120.10.10.2 A.1-379
3ju4A02 2.120.10.10.3 A.73-183,271-516
6hfcA00 2.120.10.10.4 A.1-388
3a72A00 2.120.10.10.5 A.3-355
2xziA00 2.120.10.10.6 A.2-386
1n1tA01 2.120.10.10.7 A.1-386
2oizA01 2.130.10.10.1 A.13-356
1yfqA00 2.130.10.10.2 A.1-342
4h5iB00 2.130.10.10.3 B.3-347
5u69A00 2.130.10.10.4 A.10-367
6e1zA00 2.130.10.10.5 A.7-313
6mglA01 2.130.10.10.6 A.1-16,424-747
3scyA00 2.130.10.10.7 A.6-361
6nauA00 2.130.10.10.8 A.1-334
4ggcA00 2.130.10.10.9 A.6-318
1r5mA00 2.130.10.10.10 A.34-425
5teeA01 2.130.10.10.11 A.22-390
4ozuA01 2.130.10.10.12 A.5-351
5teeA02 2.130.10.10.13 A.391-741
3kwdA00 2.160.10.10.1 A.37-202
3tioB00 2.160.10.10.2 B.2-177
1v3wA00 2.160.10.10.3 A.1-173
5v0zA00 2.160.10.10.4 A.4-192
3mqgC01 2.160.10.10.5 C.1-153
1k5cA00 2.160.20.10.1 A.3-335
5lw3A00 2.160.20.10.2 A.2-382
5m5zA02 2.160.20.10.3 A.381-755
5m5zA01 2.160.20.10.4 A.2-349
4xotA02 2.160.20.10.5 A.79-511
1ogoX02 2.160.20.10.6 X.208-574
1pe9A00 2.160.20.10.7 A.1-361
4gmuA02 2.170.8.10.1 A.65-87,330-414
1oisA02 2.170.11.10.1 A.1-19,115-223
6freA00 2.170.16.10.1 A.1-169
3ng9A00 2.170.30.10.1 A.217-736
4jzzA01 2.170.40.20.1 A.25-105,106-376
2pa8D02 2.170.120.12.1 D.38-156
4noiA02 2.170.120.12.2 A.77-197
1kmoA01 2.170.130.10.1 A.128-255
5o9mA00 2.170.150.10.1 A.1-178
6fgcA03 2.170.190.11.1 A.49-146
2nnuA02 2.170.200.10.1 A.106-204
2d5bA02 2.170.220.10.1 A.116-226
1b12A02 2.170.230.10.1 A.79-113,149-187
3f9xD00 2.170.270.10.1 D.6-166
3dalA00 2.170.270.10.2 A.1-196
2gy5A03 2.170.300.10.1 A.190-324
1igdA00 3.10.20.10.1 A.1-61
1hz6A00 3.10.20.10.2 A.6-72
5u6aE00 3.10.20.10.3 E.1-63
6nl6A00 3.10.20.10.4 A.1-56
1pgxA00 3.10.20.10.5 A.8-77
2pw9D02 3.10.20.10.6 D.34-112
2pw9C02 3.10.20.10.7 C.34-91
2qsdA01 3.10.20.10.8 A.7-62,170-180
4ikgA00 3.10.20.10.9 A.4-81
1ymhE00 3.10.20.10.10 E.1-65
5xpcA00 3.10.20.10.11 A.7-91
4d2kB00 3.10.20.10.12 B.8-87
3u2sC00 3.10.20.10.13 C.2-117
6em3S01 3.10.20.10.14 S.3-69
6em3S02 3.10.20.10.15 S.70-146
2jxtA01 3.10.20.10.16 A.5-80
1ibxA00 3.10.20.10.17 A.1-81
1ibxB00 3.10.20.10.18 B.57-145
4i4m600 3.10.20.10.19 6.2-56
4a18X01 3.10.20.10.20 X.2-80
1d4bA00 3.10.20.10.21 A.1-122
3wcqA00 3.10.20.30.1 A.1-97
4hroB00 3.10.20.30.2 B.1-88
3dwgC00 3.10.20.30.3 C.2-93
2qjlA00 3.10.20.30.4 A.1-99
4wqmA01 3.10.20.30.5 A.1-95
1n62A01 3.10.20.30.6 A.3-79
1vjkA00 3.10.20.30.7 A.9-96
3an1A01 3.10.20.30.8 A.3-94
1krhA01 3.10.20.30.9 A.2-104
4usaA01 3.10.20.30.10 A.1-74
2bt6B00 3.10.20.30.11 B.5-108
1xlqA00 3.10.20.30.12 A.1-106
1v8cA01 3.10.20.30.13 A.1-85
2ab5A01 3.10.28.10.1 A.9-135
2ab5B02 3.10.28.10.2 B.136-269
3g4nA01 3.10.40.10.1 A.2-90
1itxA02 3.10.50.10.1 A.305-377
4wkaA02 3.10.50.10.2 A.245-313
3alfA02 3.10.50.10.3 A.234-303
5jh8A02 3.10.50.10.4 A.179-189,218-273
1edqA03 3.10.50.10.5 A.420-495
3wh3A00 3.10.100.10.1 A.7-136
2zibA00 3.10.100.10.2 A.4-133
2vuvA00 3.10.100.10.3 A.1-129
2xr6A00 3.10.100.10.4 A.21-150
4ak8A00 3.10.100.10.5 A.23-152
1ypqA00 3.10.100.10.6 A.5-135
1jetA03 3.10.105.10.1 A.271-486
1xocA03 3.10.105.10.2 A.265-488
1z2uA00 3.10.110.10.1 A.1-150
5f6eA00 3.10.110.10.2 A.1-156
2yb6A00 3.10.110.10.3 A.2-151
3r3qA00 3.10.110.10.4 A.10-162
4mtuA00 3.10.129.10.1 A.1-143
3r87A00 3.10.129.10.2 A.3-134
1vh5A00 3.10.129.10.3 A.2-139
3k67A00 3.10.129.10.4 A.4-159
2hx5A00 3.10.129.10.5 A.3-145
3qooA00 3.10.129.10.6 A.5-138
1lo7A00 3.10.129.10.7 A.2-141
1sh8B00 3.10.129.10.8 B.1-149
1q4tA00 3.10.129.10.9 A.10-151
5hd6F00 3.10.129.10.10 F.6-173
1yocA00 3.10.129.10.11 A.3-147
1t82B00 3.10.129.10.12 B.3-153
4k3lB02 3.10.150.10.1 B.124-247
4k3lB03 3.10.150.10.2 B.248-366
3d1gA01 3.10.150.10.3 A.1-123
1nkiA00 3.10.180.10.1 A.1-134
3sk2A00 3.10.180.10.2 A.1-132
4z6mA01 3.10.180.10.3 A.13-151
4z6mA02 3.10.180.10.4 A.152-290
3oajA02 3.10.180.10.5 A.68-211
4jh2A01 3.10.180.10.6 A.1-135
6bnzA02 3.10.180.10.7 A.157-296
2ehzA01 3.10.180.10.8 A.4-138
3bqxA00 3.10.180.10.9 A.3-141
3ks3A00 3.10.200.10.1 A.4-260
5msaA00 3.10.200.10.2 A.3-263
3l8wA00 3.10.270.10.1 A.2-296
3jv1A00 3.10.280.10.1 A.1-182
1dm9A00 3.10.290.10.1 A.5-108
3kbgA01 3.10.290.10.2 A.4-84
2vqeD02 3.10.290.10.3 D.98-194
4jbdA02 3.10.310.10.1 A.156-308
4jbdA01 3.10.310.10.2 A.23-155,309-330
1xubA02 3.10.310.10.3 A.140-287
1u0kA02 3.10.310.10.4 A.121-271
3ednA02 3.10.310.10.5 A.125-288
5b6cA02 3.10.330.10.1 A.90-174
2b5uA03 3.10.380.10.1 A.454-551
1oqjA00 3.10.390.10.1 A.5-94
3do6A03 3.10.410.10.1 A.430-518
2hngA00 3.10.420.10.1 A.3-127
1divA02 3.10.430.100.1 A.60-149
1vq8X00 3.10.440.10.1 X.8-89
2o9uX00 3.10.450.10.1 X.2-97
2octA00 3.10.450.10.2 A.2-98
2bo9B01 3.10.450.10.3 B.1-97
4eycB00 3.10.450.10.4 B.6-105
3mwzA00 3.10.450.10.5 A.2-115
3gaxA00 3.10.450.10.6 A.12-120
5eljA00 3.10.450.10.7 A.15-104
2bo9B02 3.10.450.10.8 B.98-217
4n6oB00 3.10.450.10.9 B.10-124
4it7A00 3.10.450.10.10 A.7-113
4lziA02 3.10.450.10.11 A.96-189
4ccvA00 3.10.450.10.12 A.1-115
2ch9A01 3.10.450.10.13 A.19-131
2kxgA00 3.10.450.10.14 A.1-95
2l4vA00 3.10.450.10.15 A.1-135
1ugiD00 3.10.450.20.1 D.3-84
3agnA00 3.10.450.30.1 A.1-114
1i0vA00 3.10.450.30.2 A.1-104
1lniA00 3.10.450.30.3 A.1-96
1a2pA00 3.10.450.30.4 A.3-110
2c4bA00 3.10.450.30.5 A.2-143
1aqzA00 3.10.450.30.6 A.1-149
2kaaA00 3.10.450.30.7 A.1-130
3wa2X02 3.10.450.40.1 X.94-195
2w2rA00 3.10.460.10.1 A.40-228
2hfqA00 3.10.510.10.1 A.23-107
4xduA00 3.10.520.10.1 A.5-340
2ra9A01 3.10.540.10.1 A.22-75
2j58A01 3.10.560.10.1 A.26-44,235-324
3ib5A00 3.10.570.10.1 A.7-348
2uv4A00 3.10.580.10.1 A.8-151
2pfiB01 3.10.580.10.2 B.10-151
3pc3A03 3.10.580.10.3 A.372-515
4uuuA00 3.10.580.10.4 A.17-153
3ddjA02 3.10.580.10.5 A.153-295
3lqnA00 3.10.580.10.6 A.8-145
2qf7A03 3.10.600.10.1 A.480-498,1015-1085
2g3wA00 3.10.640.10.1 A.4-182
4x33A00 3.10.660.10.1 A.2-61
4g29A00 3.10.670.10.1 A.9-177
1ewfA01 3.15.10.10.1 A.12-191
2obdA02 3.15.10.10.2 A.18-206
1ewfA02 3.15.20.10.1 A.1-11,192-456
2eiyB02 3.20.10.10.1 B.131-294
4p3hA00 3.20.16.10.1 A.1-190
4beuA02 3.20.20.10.1 A.26-242
5fagB02 3.20.20.10.2 B.40-261
3wqcA02 3.20.20.10.3 A.27-249
4v15A02 3.20.20.10.4 A.33-255
3sy1A00 3.20.20.10.5 A.1-229
7odcA02 3.20.20.10.6 A.48-279
1rcqA02 3.20.20.10.7 A.10-216
2yxxA02 3.20.20.10.8 A.20-248
1bd0A01 3.20.20.10.9 A.14-224
2pljA02 3.20.20.10.10 A.62-299
3n2bB02 3.20.20.10.11 B.59-301
5yycA02 3.20.20.10.12 A.15-230
3co8A02 3.20.20.10.13 A.16-236
2nvaC02 3.20.20.10.14 C.25-257
3anuA02 3.20.20.10.15 A.19-244
3r79A00 3.20.20.10.16 A.5-231
3n29A02 3.20.20.10.17 A.51-276
5gjoA02 3.20.20.10.18 A.29-263
1ct5A00 3.20.20.10.19 A.2-245
4eclA02 3.20.20.10.20 A.13-233
3gwqA02 3.20.20.10.21 A.54-286
3cpgA00 3.20.20.10.22 A.10-268
2j66A02 3.20.20.10.23 A.24-278
4qhrA02 3.20.20.10.24 A.10-217
3kw3A02 3.20.20.10.25 A.27-238
4lusA02 3.20.20.10.26 A.14-228
5x7nA02 3.20.20.10.27 A.50-306
1knwA02 3.20.20.10.28 A.33-277
3hurA02 3.20.20.10.29 A.16-238
4aibA02 3.20.20.10.30 A.34-262
3n2oA02 3.20.20.10.31 A.71-352
4s39A01 3.20.20.20.1 A.4-288
4o1eB00 3.20.20.20.2 B.20-287
5uswA00 3.20.20.20.3 A.3-281
5visB00 3.20.20.20.4 B.2-274
3bofA02 3.20.20.20.5 A.301-560
4nirB00 3.20.20.20.6 B.21-295
2yciX00 3.20.20.20.7 X.1-271
4pzvA02 3.20.20.20.8 A.165-421
3tr9D00 3.20.20.20.9 D.12-293
2h9aA01 3.20.20.20.10 A.59-315
3k13A00 3.20.20.20.11 A.9-295
2h9aB01 3.20.20.20.12 B.15-309
2bmbA02 3.20.20.20.13 A.224-545
2vp8B00 3.20.20.20.14 B.29-310
1ezwA00 3.20.20.30.1 A.2-348
5lxeA00 3.20.20.30.2 A.1-334
1lucA00 3.20.20.30.3 A.1-355
1lucB00 3.20.20.30.4 B.1-320
4uwmA00 3.20.20.30.5 A.1-376
2i7gB00 3.20.20.30.6 B.2-365
1rhcA00 3.20.20.30.7 A.1-330
4us5C00 3.20.20.30.8 C.4-338
1nqkA00 3.20.20.30.9 A.1-362
3sdoB00 3.20.20.30.10 B.7-445
3raoB00 3.20.20.30.11 B.19-369
5w4zA00 3.20.20.30.12 A.9-454
5dqpB00 3.20.20.30.13 B.4-430
1nfpA00 3.20.20.30.14 A.1-228
2b81C00 3.20.20.30.15 C.5-323
1oc7A00 3.20.20.40.1 A.1-364
3a9bA00 3.20.20.40.2 A.12-385
2bogX00 3.20.20.40.3 X.1-286
5jx5A00 3.20.20.40.4 A.1-322
4b4hA00 3.20.20.40.5 A.1-420
2vwsA00 3.20.20.60.1 A.1-256
3lyeA00 3.20.20.60.2 A.8-300
6b6uA02 3.20.20.60.3 A.37-110,214-379
6r62A00 3.20.20.60.4 A.1-252
1s2wA00 3.20.20.60.5 A.4-278
3vavH00 3.20.20.60.6 H.13-275
4mg4C00 3.20.20.60.7 C.9-261
1xg4D00 3.20.20.60.8 D.2-284
3oyzA01 3.20.20.60.9 A.5-272
3b8iC00 3.20.20.60.10 C.3-284
4tv5A00 3.20.20.60.11 A.4-258
4l9yB00 3.20.20.60.12 B.23-286
1izcA00 3.20.20.60.13 A.2-300
3qz6A00 3.20.20.60.14 A.3-261
1u5hA00 3.20.20.60.15 A.1-223
2qiwA01 3.20.20.60.16 A.1-236
1sgjA00 3.20.20.60.17 A.4-234
4roqA00 3.20.20.60.18 A.2-323
2xz9B00 3.20.20.60.19 B.7-322
3r4iA01 3.20.20.60.20 A.4-268
3qtgA01 3.20.20.60.21 A.12-83,178-345
1kblA04 3.20.20.60.22 A.531-872
1zlpA00 3.20.20.60.23 A.28-311
2olsA04 3.20.20.60.24 A.481-792
4l80D00 3.20.20.60.25 D.2-348
3o0qA00 3.20.70.20.1 A.1-633
3k8tA00 3.20.70.20.2 A.90-746
2b97A00 3.20.120.10.1 A.1-70
3lkmA02 3.20.200.10.1 A.184-273
3nycA02 3.30.9.10.1 A.90-147,223-314
1c0pA02 3.30.9.10.2 A.79-138,188-290
2olnA02 3.30.9.10.3 A.88-146,221-327
1vbwA00 3.30.10.10.1 A.1-68
1cseI00 3.30.10.10.2 I.8-70
3psmA00 3.30.30.10.1 A.1-47
1ahoA00 3.30.30.10.2 A.1-64
1npiA00 3.30.30.10.3 A.1-61
4aazA00 3.30.30.10.4 A.1-47
3t7lA00 3.30.40.10.1 A.5-78
1vfyA00 3.30.40.10.2 A.7-73
5tdrA00 3.30.40.10.3 A.1-70
5o75A00 3.30.40.10.4 A.3-73
3aslA00 3.30.40.10.5 A.2-69
4v3lC00 3.30.40.10.6 C.8-76
3zyqA02 3.30.40.10.7 A.156-222
5wxhA00 3.30.40.10.8 A.1-63
3kqiA00 3.30.40.10.9 A.4-74
2xeuA00 3.30.40.10.10 A.1-64
5pxlB01 3.30.40.10.11 B.1-60
5mr8A01 3.30.40.10.12 A.6-78
2vp7A00 3.30.40.10.13 A.1-66
5trbA00 3.30.40.10.14 A.7-75
5o6tA00 3.30.40.10.15 A.3-66
1zr6A01 3.30.43.10.1 A.3-93
3nvwB01 3.30.43.10.2 B.1-92
3fylA00 3.30.50.10.1 A.2-75
2i06A02 3.30.54.10.1 A.174-235,295-309
2cxiA01 3.30.56.10.1 A.2-80
2rhqB04 3.30.56.10.2 B.404-478
1p9gA00 3.30.60.10.1 A.2-41
2uvoA04 3.30.60.10.2 A.129-170
1wgtA04 3.30.60.10.3 A.129-171
2orwB02 3.30.60.20.1 B.137-182
3uejA01 3.30.60.20.2 A.7-65
2vrwB03 3.30.60.20.3 B.343-395
3e2iA02 3.30.60.20.4 A.162-212
1w4rA02 3.30.60.20.5 A.151-192
4u5wA00 3.30.62.10.1 A.12-148
2f4qA01 3.30.66.10.1 A.2-90
1iqzA00 3.30.70.20.1 A.1-81
3eunA00 3.30.70.20.2 A.1-81
3c8yA02 3.30.70.20.3 A.125-208
1kqfB01 3.30.70.20.4 B.2-27,99-162
7fd1A00 3.30.70.20.5 A.1-106
3or1A04 3.30.70.20.6 A.240-323
1h98A00 3.30.70.20.7 A.1-77
2fdnA00 3.30.70.20.8 A.1-55
4omfG02 3.30.70.20.9 G.204-275
1sj1A00 3.30.70.20.10 A.1-66
