3vkgB04 1.10.8.710.1 B.739-869
3q13A01 2.60.40.2130.2 A.8-170,216-243
3ie4A00 2.60.40.2140.1 A.1-101
4hsaF02 2.60.40.2150.1 F.168-272
4hsaC01 2.60.40.2160.1 C.2-167
2ygoA01 2.60.40.2170.1 A.2-150
3dohA01 2.60.40.2180.1 A.6-140
2zyrA02 2.60.40.2190.1 A.238-331
2zyrB03 2.60.40.2200.1 B.332-474
2wyhA05 2.60.40.2210.1 A.423-536,827-846
5kbpA03 2.60.40.2210.2 A.403-516,802-821
2wyhA07 2.60.40.2220.1 A.847-923
5kbpA05 2.60.40.2220.2 A.822-898
3esmA00 2.60.40.2230.1 A.2-139
3hlkA01 2.60.40.2240.1 A.13-147
3isrA02 2.60.40.2250.1 A.13-90,254-275
3lsoA03 2.60.40.2260.1 A.297-454
3lsoA01 2.60.40.2270.1 A.24-191
2wtpA00 2.60.40.2280.1 A.36-128
2jvuA00 2.60.40.2290.1 A.1-98
2zwsA02 2.60.40.2300.1 A.512-645
4wgkA02 2.60.40.2300.2 A.544-682
4yn3A03 2.60.40.2310.1 A.516-621
3vtaB03 2.60.40.2310.2 B.491-620
3wdhA01 2.60.40.2320.1 A.10-105
2e8yA01 2.60.40.2320.2 A.1-101
4ftdA01 2.60.40.2340.1 A.14-108
3hbzA01 2.60.40.2340.2 A.1-94
3isyA00 2.60.40.2360.1 A.4-120
3k6oA02 2.60.40.2370.1 A.87-224
3k0yA02 2.60.40.2370.2 A.84-228
4pqxA02 2.60.40.2370.3 A.81-217
3qwnA02 2.60.40.2370.4 A.79-212
4j8qA02 2.60.40.2370.5 A.82-207
3jybA00 2.60.40.2380.1 A.8-145
3n6yA01 2.60.40.2390.1 A.5-16,38-137
3n40P04 2.60.40.2400.1 P.329-401
4lbaA01 2.60.40.2410.1 A.14-114
2l3bA00 2.60.40.2410.2 A.1-130
2xskA00 2.60.40.2420.1 A.3-97
2n59A00 2.60.40.2420.2 A.1-101
2y7lA02 2.60.40.2430.1 A.162-312
4bfoA00 2.60.40.2440.1 A.1-106
2eefA01 2.60.40.2440.2 A.12-138
2m83A00 2.60.40.2440.3 A.1-139
2covG00 2.60.40.2450.1 G.8-95
2fsdA00 2.60.40.2460.1 A.33-142
2oxgD00 2.60.40.2470.1 D.11-121
2nncA00 2.60.40.2470.2 A.10-119
3lzqA00 2.60.40.2480.1 A.2-158
2o6fA00 2.60.40.2480.2 A.33-189
3jqoB00 2.60.40.2500.1 B.2-131
2n01B00 2.60.40.2500.2 B.1-106
2ofqA01 2.60.40.2500.3 A.7-95
2opcA00 2.60.40.2510.1 A.13-127
2hb0A01 2.60.40.2520.1 A.1-177
2nykA02 2.60.40.2530.1 A.174-267
2zf8A01 2.60.40.2540.1 A.1-154
2xwxA03 2.60.40.2550.1 A.294-391
3py9A04 2.60.40.2560.1 A.214-291
3qjoA03 2.60.40.2570.1 A.399-491
4rdbA01 2.60.40.2580.1 A.1-151
4gpvB01 2.60.40.2580.2 B.9-157
3r4rA01 2.60.40.2580.3 A.10-168
4jrfA01 2.60.40.2580.4 A.20-195,500-504
4jg5A01 2.60.40.2580.5 A.9-164,199-217
3up6A01 2.60.40.2580.6 A.12-151,186-213
3r4rA02 2.60.40.2590.1 A.169-293
3rfzB04 2.60.40.2610.1 B.660-750
4k4kB01 2.60.40.2620.1 B.10-141
3sy6B01 2.60.40.2620.2 B.9-141
4epsA01 2.60.40.2620.3 A.8-118,136-158
3t2lA01 2.60.40.2620.4 A.17-151
3ufiA01 2.60.40.2620.5 A.10-162
4k4kA02 2.60.40.2630.1 A.142-270
3sy6A02 2.60.40.2630.2 A.142-279
3t2lA02 2.60.40.2630.3 A.152-297
3ufiA02 2.60.40.2630.4 A.163-287
4adiB04 2.60.40.2650.1 B.330-423
4d8oA03 2.60.40.2660.1 A.335-498
4dguA02 2.60.40.2670.1 A.129-232
4dguA01 2.60.40.2680.1 A.12-127
4dgwC00 2.60.40.2690.1 C.78-218
4dixA01 2.60.40.2700.1 A.13-99
4ak1A01 2.60.40.2710.1 A.13-107
4ak2A01 2.60.40.2720.1 A.2-118
4ak2A02 2.60.40.2730.1 A.119-288
3e7jA03 2.60.40.2750.1 A.654-749
2lg7A00 2.60.60.50.1 A.1-129
2vrsA03 2.60.90.40.1 A.80-211
4hj1A01 2.60.98.50.1 A.1-71,164-215,295-337
2rdqA00 2.60.120.620.1 A.5-269
4bqyA00 2.60.120.620.2 A.14-239
4xcbD00 2.60.120.620.3 D.7-260
3w20B00 2.60.120.620.4 B.2-273
4xabA00 2.60.120.620.5 A.4-251
3kt7A01 2.60.120.620.6 A.5-250
3pl0B00 2.60.120.620.7 B.1-254
4nhxA02 2.60.120.620.8 A.266-562
5ep9C00 2.60.120.620.9 C.29-284
3itqA01 2.60.120.620.10 A.20-212
5oa4A00 2.60.120.620.11 A.8-295
4naoA00 2.60.120.620.12 A.22-321
3emrA00 2.60.120.620.13 A.2-296
4nhxA01 2.60.120.620.14 A.44-265
5c5uB00 2.60.120.620.15 B.19-228
2fctB00 2.60.120.620.16 B.7-313
2rg4A01 2.60.120.620.17 A.14-207
4xaaA00 2.60.120.620.18 A.3-223
2opwA00 2.60.120.620.19 A.2-291
5zm4B00 2.60.120.620.20 B.21-304
4y5tB00 2.60.120.620.21 B.9-293
4j25F00 2.60.120.620.22 F.30-223
2a1xA00 2.60.120.620.23 A.13-308
3dkqA01 2.60.120.620.24 A.14-195
3nnfA00 2.60.120.620.25 A.25-342
3cbnA00 2.60.120.630.1 A.3-147
1qexA02 2.60.120.640.1 A.67-169
5phlA00 2.60.120.650.1 A.33-363
6bgyA00 2.60.120.650.2 A.13-330
6fulA02 2.60.120.650.3 A.32-375
4qxbA01 2.60.120.650.4 A.1-293
6fqcA01 2.60.120.650.5 A.1-290
6f4qA00 2.60.120.650.6 A.21-255
5fzoA01 2.60.120.650.7 A.2-343
3purA02 2.60.120.650.8 A.102-138,139-263,295-431
3optA01 2.60.120.650.9 A.14-341
4ccjA01 2.60.120.650.10 A.1-246
4bxfA01 2.60.120.650.11 A.7-240
3al5B01 2.60.120.650.12 B.24-286
1vrbD01 2.60.120.650.13 D.19-75,93-255
4litA01 2.60.120.650.14 A.36-238
2df7A02 2.60.120.660.1 A.202-341
3ideA02 2.60.120.660.2 A.200-342
1yq5A00 2.60.120.670.1 A.1-144
4uybA02 2.60.120.680.1 A.277-386
5lz6A00 2.60.120.680.2 A.4-166
2qtwB02 2.60.120.690.1 B.301-530
3bpsA02 2.60.120.690.2 A.301-530
1y43B00 2.60.120.700.1 B.3-173
2bvbA00 2.60.120.710.1 A.1-137
2vveA02 2.60.120.720.1 A.86-244
2vvfA01 2.60.120.730.1 A.1-141
2vvfA02 2.60.120.730.2 A.142-269
2zx2A02 2.60.120.740.1 A.97-195
5afbA01 2.60.120.740.2 A.9-112
3gf6A00 2.60.120.750.1 A.4-222
2wq4A01 2.60.120.760.1 A.2-130
2vveA01 2.60.120.770.1 A.3-85,245-254
4mvtB01 2.60.120.780.1 B.33-186
3i2dA01 2.60.120.780.2 A.50-204
3nkgA00 2.60.120.790.1 A.3-172
3fmgA02 2.60.120.800.1 A.114-200
4mloA01 2.60.120.810.1 A.5-164
3gbwA00 2.60.120.820.1 A.1-161
3no8A00 2.60.120.820.2 A.13-169
3hwjB00 2.60.120.820.3 B.4-163
3ghmA03 2.60.120.830.1 A.257-398
2x8kA03 2.60.120.860.1 A.138-248
4divS02 2.60.120.860.2 S.150-253
3ecqA01 2.60.120.870.1 A.88-270
2wzpP03 2.60.120.880.1 P.164-175,209-323
2x53S02 2.60.120.880.2 S.136-298
4hetA02 2.60.120.890.1 A.107-360
6itaA00 2.60.120.920.1 A.2-190
5c33A00 2.60.120.920.2 A.6-195
3kb5A00 2.60.120.920.3 A.1-193
3uv9A00 2.60.120.920.4 A.2-184
5ji7A00 2.60.120.920.5 A.40-238
5vsnA00 2.60.120.920.6 A.1-169
4b8eB00 2.60.120.920.7 B.2-193
4xw3A00 2.60.120.920.8 A.17-206
5f6lB00 2.60.120.920.9 B.1-184
1tmxB00 2.60.130.10.6 B.4-293
1sva400 2.60.175.10.4 4.13-343
1u0tA02 2.60.200.30.4 A.140-276
1yt5A02 2.60.200.30.5 A.105-230
3pfnC02 2.60.200.30.6 C.173-336
2bonA02 2.60.200.40.1 A.151-309
4werA02 2.60.200.40.2 A.126-291
3s40B02 2.60.200.40.3 B.131-290
1f3vB00 2.60.210.10.6 B.1-171
4d8oA02 2.60.220.30.2 A.181-334
2kxsA00 2.60.220.30.3 A.1-146
2odxA00 2.60.260.40.1 A.19-72
2jrrA01 2.60.260.40.2 A.1-53
3s6pA03 2.60.270.70.1 A.280-421
1nwbA00 2.60.300.12.5 A.1-101
4a0tA03 2.60.320.30.1 A.139-228
3w5mA06 2.60.420.10.6 A.933-1032
4ld1A00 2.60.450.20.1 A.13-169
4g1lA01 2.70.20.50.1 A.14-187,357-363
2r9qA02 2.70.40.10.19 A.173-345
2r9qC01 2.70.40.10.20 C.8-172
4maiA00 2.70.50.70.5 A.1-216
5nnsA00 2.70.50.70.6 A.1-225
3it5G00 2.70.70.10.12 G.2-181
3w7tA01 2.70.98.50.2 A.1-232
2rdyA01 2.70.98.50.3 A.4-370,653-674
2yfoA01 2.70.98.60.1 A.2-309
3mi6A01 2.70.98.60.2 A.2-310
4fnvA02 2.70.98.70.1 A.421-702
3e7jA02 2.70.98.70.2 A.334-653
2v5oA02 2.70.130.10.10 A.143-292
4umvA02 2.70.150.10.5 A.233-338
3q7eA02 2.70.160.11.11 A.173-349
6d6tE01 2.70.170.10.9 E.62-269
3o44A01 2.70.240.10.6 A.13-152,200-331
2vseA02 2.80.10.50.77 A.270-411
2vseA05 2.80.10.50.78 A.696-837
2vseA03 2.80.10.50.79 A.412-552
2d7iA02 2.80.10.50.80 A.421-570
2dreA00 2.80.10.50.81 A.2-179
1r8nA00 2.80.10.50.82 A.1-185
5dvhA00 2.80.10.50.83 A.1-193
1t9fA00 2.80.10.50.84 A.1-178
5vi4A00 2.80.10.50.85 A.6-157
3v0aB04 2.80.10.50.86 B.1041-1196
4okcA01 2.90.10.10.9 A.1-69
5gqtA01 2.100.10.30.11 A.2-145
4d8mA03 2.100.10.40.1 A.230-428
3gceA00 2.102.10.10.17 A.9-112
3c0dA00 2.102.10.10.18 A.4-112
3oyoA00 2.110.10.10.5 A.1-225
4ffhA01 2.115.10.20.28 A.2-327
1w2tA01 2.115.10.20.29 A.12-294
5nslA01 2.115.10.20.30 A.42-469
3ligA01 2.115.10.20.31 A.36-457
5eo8A00 2.120.10.70.2 A.1-311
4csdB00 2.120.10.70.3 B.2-271
6gy5A00 2.120.10.80.1 A.16-300
3ii7A00 2.120.10.80.2 A.10-297
4yy8A02 2.120.10.80.3 A.91-389
4ascA00 2.120.10.80.4 A.1-308
3nvqA01 2.130.10.10.108 A.2-448
2pm9A01 2.130.10.10.109 A.10-336
5b4wA00 2.130.10.10.110 A.39-494
4wjvD00 2.130.10.10.111 D.4-381
3v9fA01 2.130.10.10.112 A.4-342
2uzxB01 2.130.10.10.113 B.21-510
3okyB01 2.130.10.10.114 B.5-499
3v9fA02 2.130.10.10.115 A.343-655
5xyig01 2.130.10.10.116 g.26-332
1vyhC01 2.130.10.10.117 C.101-408
5gmkn00 2.130.10.10.118 n.51-455
4nbmA00 2.130.10.30.1 A.1-369
4jhnA00 2.130.10.30.2 A.8-369
3kciA00 2.130.10.30.3 A.21-386
2ecfA01 2.140.10.30.4 A.22-481
2yo0A01 2.150.10.10.8 A.42-200
4m9cA02 2.160.10.10.34 A.92-206
3c8vA02 2.160.10.10.35 A.61-247,414-430,450-494
5afuV00 2.160.10.10.36 V.1-165
1fxjA02 2.160.10.10.37 A.237-329
2bm5B00 2.160.20.80.3 B.4-184
3nb2A01 2.160.20.80.4 A.2-178
3n90A00 2.160.20.80.5 A.1-145
2xt2B00 2.160.20.80.6 B.6-199
2qyuA01 2.160.20.80.7 A.8-164
2xtyB00 2.160.20.80.8 B.1-217
3du1X00 2.160.20.80.9 X.20-256
5jlvC00 2.160.20.80.10 C.20-116
4lo6A00 2.170.15.20.2 A.21-190
4lx3A00 2.170.16.10.13 A.5-105
2jmzA01 2.170.16.10.14 A.8-175
2l3uA00 2.170.120.30.4 A.1-98
1jbiA00 2.170.130.20.1 A.1-100
5nsaA00 2.170.130.30.1 A.3-108
3djmD00 2.170.150.40.1 D.6-116
2lvlA01 2.170.150.60.1 A.16-128
4gfcB00 2.170.210.20.5 B.5-184
3pieC05 2.170.260.40.1 C.721-892
3db5A00 2.170.270.10.22 A.4-141
3ep0A00 2.170.270.10.23 A.17-145
3ihxC01 2.170.270.10.24 C.14-148
4ol8B02 3.10.10.10.4 B.39-130,159-191
2x8xX02 3.10.20.310.5 X.77-152
2x8xX03 3.10.20.310.6 X.153-235
4bzaA02 3.10.20.310.7 A.82-168
2qdfA03 3.10.20.310.8 A.159-249
4bzaA01 3.10.20.310.9 A.5-81
2qdfA02 3.10.20.310.10 A.76-158
2qdfA01 3.10.20.310.11 A.4-75
6h9nA01 3.10.20.310.12 A.2-70
4k3cA01 3.10.20.310.13 A.1-82
4k3bA04 3.10.20.310.14 A.266-343
4k3bA02 3.10.20.310.15 A.90-173
3njtA02 3.10.20.310.16 A.74-146
3njtA03 3.10.20.310.17 A.147-219
4k3bA03 3.10.20.310.18 A.174-265
2mhjA00 3.10.20.310.19 A.1-95
4m02A01 3.10.20.320.1 A.36-116
2kt7A01 3.10.20.320.2 A.1-85
2kvzA00 3.10.20.320.3 A.1-85
2kywA00 3.10.20.320.4 A.1-87
2dlbA00 3.10.20.330.1 A.2-71
3it4D02 3.10.20.340.1 D.80-202
1vraB02 3.10.20.340.2 B.86-213
2griA01 3.10.20.350.1 A.19-108
5lznA00 3.10.20.360.1 A.2-116
4mh8A04 3.10.20.370.1 A.342-417
1xeeA01 3.10.20.390.1 A.1-82
4b0eD00 3.10.20.410.1 D.18-122
1ze3D00 3.10.20.410.2 D.1-125
3rfzB01 3.10.20.410.3 B.26-121
2bw2A01 3.10.20.420.1 A.8-62
1y56A01 3.10.20.440.1 A.3-96
3i57A01 3.10.20.470.1 A.1-75
2w82A01 3.10.20.480.1 A.3-61
4llgM00 3.10.20.510.1 M.15-64
3egrA00 3.10.20.520.1 A.4-66
4iqfA02 3.10.25.10.4 A.210-314
2cw8A03 3.10.28.10.22 A.274-442
1ef0B02 3.10.28.10.23 B.184-419
3hyiA01 3.10.28.10.24 A.7-201
3nrkA02 3.10.50.40.28 A.158-266
1m5yC02 3.10.50.40.29 C.143-253,376-400
3rgcA02 3.10.50.40.30 A.132-209
4o2tA00 3.10.50.40.31 A.1-168
2jzvA00 3.10.50.40.32 A.1-111
2kgjA00 3.10.50.40.33 A.1-102
1tdqB00 3.10.100.10.42 B.5-130
1f00I03 3.10.100.10.43 I.185-282
2pf5D00 3.10.100.10.44 D.1-96
4m1gA00 3.10.100.10.45 A.11-96
3bdwB00 3.10.100.10.46 B.1-120
2grvB03 3.10.105.10.20 B.300-383,400-487,538-587
4wedA02 3.10.105.10.21 A.270-495
3ry3A02 3.10.105.10.22 A.253-492
1ukxA00 3.10.110.10.28 A.1-137
2dmfA00 3.10.110.10.29 A.1-137
2dawA01 3.10.110.10.30 A.11-143
4x8yB00 3.10.120.10.8 B.1-110
3wewA00 3.10.129.10.101 A.8-258
2ownA00 3.10.129.10.102 A.4-259
3omlA03 3.10.129.10.103 A.318-599
4hzpA00 3.10.129.10.104 A.11-308
2uv8G08 3.10.129.10.105 G.1256-1414,1530-1659
4e3eA00 3.10.129.10.106 A.2-352
2pfcA00 3.10.129.30.1 A.20-183
3frnA01 3.10.129.70.1 A.2-140
5o15B00 3.10.129.110.1 B.18-306
5tz5A00 3.10.129.110.2 A.8-293
5bp3B00 3.10.129.110.3 B.14-299
5njiA00 3.10.129.110.4 A.27-318
5e1vB00 3.10.129.110.5 B.1-274
2p7sA00 3.10.130.10.8 A.5-114
3pgeA02 3.10.150.10.19 A.105-197
3l0wA00 3.10.150.10.20 A.7-169
4k90A01 3.10.170.10.4 A.1-201
3zgjA02 3.10.180.10.78 A.176-367
2i7rA00 3.10.180.10.79 A.5-117
3e0rB01 3.10.180.10.80 B.5-67,189-244
2zw5A02 3.10.180.10.81 A.183-301
3b59A01 3.10.180.10.82 A.3-123
4huzA01 3.10.180.10.83 A.3-68,220-319
3pkvA00 3.10.180.10.84 A.25-245
3e5dA00 3.10.180.10.85 A.3-127
3opyB01 3.10.180.10.86 B.5-155
4n04A00 3.10.180.10.87 A.5-115
3b1bA01 3.10.200.10.11 A.21-294,346-377
2xrcB03 3.10.250.10.5 B.93-198
2xfvA00 3.10.260.30.1 A.1-108
2i1sA00 3.10.290.30.1 A.4-188
2ztbA01 3.10.290.50.1 A.4-65,189-224
4oa3A00 3.10.310.50.2 A.6-146
3pvhA00 3.10.310.50.3 A.1-153
2kptA00 3.10.310.50.4 A.1-148
2kw7A00 3.10.310.50.5 A.1-157
2bc4B01 3.10.320.10.4 B.3-92
5ccbA01 3.10.330.20.6 A.1-72
2b25A01 3.10.330.20.7 A.8-73
1e0gA00 3.10.350.10.8 A.1-48
2lwlA00 3.10.360.10.4 A.5-49
3cr8A01 3.10.400.10.8 A.3-143
3k63A01 3.10.450.270.1 A.2-102
2xepB01 3.10.450.280.1 B.8-126
2xglA00 3.10.450.300.1 A.3-93
2lqvA00 3.10.450.300.2 A.1-99
2fgtA02 3.10.450.310.1 A.165-191,340-406
2ciuA00 3.10.450.320.1 A.5-127
3s28A01 3.10.450.330.1 A.27-147
4rbnA01 3.10.450.330.2 A.4-132
2gu1A02 3.10.450.350.1 A.95-199
4rnyA02 3.10.450.350.2 A.85-188,321-363
2gu1A01 3.10.450.350.3 A.7-94
3sluA02 3.10.450.350.4 A.100-213,345-371
3sluB01 3.10.450.350.5 B.9-99
4fr9A00 3.10.450.360.1 A.4-144
4k61B00 3.10.450.360.2 B.3-140
3u1wA01 3.10.450.360.3 A.5-187
3u1wA02 3.10.450.360.4 A.188-253
2d42A02 3.10.450.380.1 A.5-35,175-208
2lyxA00 3.10.450.390.1 A.1-87
2m7oA00 3.10.450.400.1 A.1-70
4r4kA00 3.10.450.410.1 A.4-154
2rsxA00 3.10.450.420.1 A.1-159
2w56B00 3.10.450.430.1 B.5-146
2zdjA00 3.10.450.450.1 A.2-69
3q1cA01 3.10.450.460.1 A.1-102
2g0qA01 3.10.490.10.8 A.10-124
3lhhA01 3.10.580.10.42 A.49-153
5iipD00 3.10.580.10.43 D.39-155
3hf7A00 3.10.580.10.44 A.1-127
4dqwA02 3.10.580.10.45 A.112-224
4hg0A01 3.10.580.10.46 A.51-197
5dnoA00 3.10.590.10.4 A.10-178
3kd4A02 3.10.620.30.4 A.210-369
3uv1A00 3.15.10.50.1 A.6-195
3snoA02 3.20.10.10.15 A.133-315
5k3wB02 3.20.10.10.16 B.140-304
2b3yA05 3.20.19.10.4 A.654-888
3mkvA02 3.20.20.140.76 A.61-366
1gkrB02 3.20.20.140.77 B.55-375
3dcpA00 3.20.20.140.78 A.2-277
2i5gA00 3.20.20.140.79 A.1-325
2oodA02 3.20.20.140.80 A.74-396
2wjeA00 3.20.20.140.81 A.4-247
2f6kA00 3.20.20.140.82 A.2-307
2q01A01 3.20.20.140.83 A.7-53,154-483
4i6kA00 3.20.20.140.84 A.25-291
2icsA02 3.20.20.140.85 A.55-321
1v77A00 3.20.20.140.86 A.7-208
2yb1A01 3.20.20.140.87 A.2-96,170-288
3nqbA02 3.20.20.140.88 A.90-335
3e38B01 3.20.20.140.89 B.1-245
2y1hB00 3.20.20.140.90 B.3-270
3o0fA01 3.20.20.140.91 A.8-107,182-294
3f2bA02 3.20.20.140.92 A.116-185,204-396
1j5sA01 3.20.20.140.93 A.13-54,146-462
2ftyD02 3.20.20.140.94 D.56-435,454-488
5lewA01 3.20.20.140.95 A.1-289
2ogjA02 3.20.20.140.96 A.73-338
2anuA00 3.20.20.140.97 A.17-245
3lgdA00 3.20.20.140.98 A.3-484
3guwA00 3.20.20.140.99 A.2-248
2a3lA01 3.20.20.140.100 A.74-259,351-701
1muwA00 3.20.20.150.1 A.1-386
5tnvA00 3.20.20.150.2 A.21-326
4hnoA00 3.20.20.150.3 A.4-288
1qtwA00 3.20.20.150.4 A.1-285
3ktcA00 3.20.20.150.5 A.3-332
1d8wC00 3.20.20.150.6 C.10-425
3m0mD00 3.20.20.150.7 D.3-421
2qw5A00 3.20.20.150.8 A.7-333
3tc3B00 3.20.20.150.9 B.21-310
5b7yA00 3.20.20.150.10 A.21-289
3aalA00 3.20.20.150.11 A.6-303
4xslC00 3.20.20.150.12 C.1-297
3qc0A00 3.20.20.150.13 A.3-275
2j6vA00 3.20.20.150.14 A.19-299
5nhmB00 3.20.20.150.15 B.3-437
4k3zA00 3.20.20.150.16 A.22-331
1i60A00 3.20.20.150.17 A.2-277
3aamA00 3.20.20.150.18 A.2-270
3obeB00 3.20.20.150.19 B.14-305
2g0wB00 3.20.20.150.20 B.7-295
3cnyA00 3.20.20.150.21 A.3-301
3lmzA00 3.20.20.150.22 A.7-257
5zfsB00 3.20.20.150.23 B.1-294
3qxbA00 3.20.20.150.24 A.2-315
1k77A00 3.20.20.150.25 A.2-260
3bdkA00 3.20.20.150.26 A.19-381
3kwsA00 3.20.20.150.27 A.23-287
2zdsB00 3.20.20.150.28 B.2-323
4gqbA01 3.20.20.150.29 A.13-299
3p6lA00 3.20.20.150.30 A.1-262
3cqjA00 3.20.20.150.31 A.16-291
1yx1A00 3.20.20.150.32 A.5-254
3tvaA00 3.20.20.150.33 A.9-290
3ayvD00 3.20.20.150.34 D.1-244
3dx5A00 3.20.20.150.35 A.2-274
3u0hA00 3.20.20.150.36 A.3-281
4ovxA00 3.20.20.150.37 A.8-276
4eacC01 3.20.20.150.38 C.19-122,219-319,338-371,391-414
3bwwA01 3.20.20.150.39 A.1-206,207-307
2q02A00 3.20.20.150.40 A.1-272
3wqoA00 3.20.20.150.41 A.16-286
1yx1B01 3.20.20.150.42 B.36-197
3ua4A01 3.20.20.150.43 A.48-332
3i10A00 3.20.20.190.1 A.1-278
3mz2A00 3.20.20.190.2 A.1-292
3rlgA00 3.20.20.190.3 A.24-301
3ch0A00 3.20.20.190.4 A.1-272
5t9cE00 3.20.20.190.5 E.6-268
3h4xA00 3.20.20.190.6 A.25-339
3l12B00 3.20.20.190.7 B.4-313
4i90A00 3.20.20.190.8 A.2-303
3qvqA00 3.20.20.190.9 A.1-251
1vd6A00 3.20.20.190.10 A.7-224
3qr0A03 3.20.20.190.11 A.326-473,510-637
2plcA00 3.20.20.190.12 A.1-274
1o1zA00 3.20.20.190.13 A.9-234
3ks6A00 3.20.20.190.14 A.1-250
1ydyA00 3.20.20.190.15 A.29-356
3no3A00 3.20.20.190.16 A.1-238
1zccA00 3.20.20.190.17 A.1-240
2o55A00 3.20.20.190.18 A.2-255
2otdA01 3.20.20.190.19 A.8-235
4zr8B00 3.20.20.210.1 B.12-365
3rpdA00 3.20.20.210.2 A.13-357
2f3oA00 3.20.70.20.12 A.4-776
1d5yB03 3.20.80.10.8 B.120-291
4ckbA02 3.20.100.20.1 A.11-221
1o7dA01 3.20.110.10.5 A.14-293
1ybeB01 3.20.140.10.5 B.8-416
2hw2A00 3.20.170.40.1 A.6-143
3vkgA03 3.20.180.20.1 A.330-429
3w0fA01 3.20.190.10.8 A.1-146
4bjyA02 3.30.9.30.1 A.41-124,177-278,357-397
3rp8A02 3.30.9.30.2 A.58-138,193-292,365-407
3c96A02 3.30.9.30.3 A.40-120,181-294,367-403
3ihmA02 3.30.9.40.1 A.86-119,184-293
2mgvA00 3.30.10.20.7 A.1-65
2k35A00 3.30.30.100.1 A.1-60
2ln8A00 3.30.30.100.2 A.1-75
2d56A00 3.30.30.110.1 A.1-53
2e2fA00 3.30.30.120.1 A.1-41
3qi7A03 3.30.30.130.1 A.327-371
2e6rA00 3.30.40.10.128 A.1-92
3ztgA00 3.30.40.10.129 A.1-92
1weoA00 3.30.40.10.130 A.1-93
1wimA00 3.30.40.10.131 A.1-94
2miqA00 3.30.40.10.132 A.1-94
2yu4A00 3.30.40.10.133 A.1-94
2uzgA00 3.30.40.10.134 A.3-97
2ecnA01 3.30.40.10.135 A.15-60
2eciA01 3.30.40.10.136 A.36-80
1jm7B00 3.30.40.10.137 B.1-97
1jm7A00 3.30.40.10.138 A.1-103
3nw0A03 3.30.40.10.139 A.181-238
2ysmA00 3.30.40.10.140 A.1-111
2i50A00 3.30.40.10.141 A.5-126
3fanA03 3.30.40.20.1 A.164-208
1mbmD03 3.30.40.20.2 D.150-197
3i99A01 3.30.43.10.20 A.9-82
4bbyB01 3.30.43.10.21 B.81-99,155-263
1f0xB02 3.30.43.10.22 B.9-105,520-566
1kb2B00 3.30.50.10.13 B.7-91
4tmaJ00 3.30.50.10.14 J.3-63
4dduA04 3.30.56.80.1 A.388-461
3ushB00 3.30.56.110.1 B.2-121
3goxA02 3.30.60.130.1 A.65-118
3e59B02 3.30.60.140.1 B.283-320
2l8eA00 3.30.60.160.1 A.1-49
2w0tA00 3.30.60.160.2 A.1-43
1x4sA00 3.30.60.190.1 A.1-59
2luyA01 3.30.60.210.1 A.2-58
2yqpA00 3.30.60.220.1 A.1-60
4e1pA00 3.30.60.230.1 A.4-58
2qorA02 3.30.63.10.4 A.44-103
4adiA02 3.30.67.20.1 A.31-40,150-163,199-247,300-318
3u27A01 3.30.70.1710.11 A.5-9,114-220
5diiA01 3.30.70.1710.12 A.18-96
4oloB00 3.30.70.1710.13 B.1-102
1yrtA01 3.30.70.1720.1 A.7-43,188-197,253-354
3jsyA01 3.30.70.1730.1 A.1-103,184-213
1zavA01 3.30.70.1730.2 A.1-135
4nwbA01 3.30.70.1730.3 A.26-123,217-250
6i0y501 3.30.70.1730.4 5.1-130
2qa4G01 3.30.70.1730.5 G.7-122
5oomI00 3.30.70.1730.6 I.30-197
1vx4q01 3.30.70.1730.7 q.1-107,177-202
3kitJ00 3.30.70.1730.8 J.4-133
4hubG01 3.30.70.1730.9 G.1-104,185-254
2bw2A02 3.30.70.1740.1 A.63-140
2f40A00 3.30.70.1750.1 A.9-82
4alzA03 3.30.70.1770.1 A.135-198
4g1iA03 3.30.70.1770.2 A.130-198
4g1iB01 3.30.70.1780.1 B.7-58
3gr0D01 3.30.70.1780.2 D.18-58
3h20A02 3.30.70.1790.1 A.71-177
5maoA00 3.30.70.1800.1 A.1-71
4i69A00 3.30.70.1800.2 A.2-80
2w7aB00 3.30.70.1820.1 B.2-100
3tvyA02 3.30.70.1830.1 A.76-95,238-276
2ww8A04 3.30.70.1830.2 A.290-309,451-504
5xgrA01 3.30.70.1840.1 A.1-115,173-198
2ghvC01 3.30.70.1840.2 C.7-120,172-189
5m2pA00 3.30.70.1860.1 A.4-109
3gmgA00 3.30.70.1880.1 A.19-161
5yi6B01 3.30.70.1890.1 B.3-124
4c8yA01 3.30.70.1890.2 A.5-109
3ufcX01 3.30.70.1890.3 X.1-122
4c97A02 3.30.70.1900.1 A.110-243
4c98A02 3.30.70.1900.2 A.128-268
5yi6A02 3.30.70.1900.3 A.125-242
4illA02 3.30.70.1900.4 A.122-284
2x3gA00 3.30.70.1910.1 A.1-118
2cjaA01 3.30.70.1920.1 A.4-182
3w3sA01 3.30.70.1920.2 A.2-169
3g8qA02 3.30.70.1940.1 A.114-193
3jtnB00 3.30.70.1950.1 B.2-91
3jtpA00 3.30.70.1950.2 A.7-98
2b4vA03 3.30.70.1970.1 A.147-245
2abyA00 3.30.70.1980.1 A.23-144
2b9wA03 3.30.70.1990.1 A.276-370
3drxB03 3.30.70.2000.1 B.123-179
